bezirk_id,bezirk_name,prg_id,prg_name,bzr_id,bzr_name,pnr_id,pnr_name,full_id_bzr,full_id_pnr
01,Mitte,01,Zentrum,11,Tiergarten Süd,01,Stülerstr.,010111,01011101
01,Mitte,01,Zentrum,11,Tiergarten Süd,02,Großer Tiergarten,010111,01011102
01,Mitte,01,Zentrum,11,Tiergarten Süd,03,Lützowstr.,010111,01011103
01,Mitte,01,Zentrum,11,Tiergarten Süd,04,Körnerstr.,010111,01011104
01,Mitte,01,Zentrum,11,Tiergarten Süd,05,Nördl. Landwehrkanal,010111,01011105
01,Mitte,01,Zentrum,12,Regierungsviertel,01,Wilhelmstr.,010112,01011201
01,Mitte,01,Zentrum,12,Regierungsviertel,02,Unter den Linden Nord,010112,01011202
01,Mitte,01,Zentrum,12,Regierungsviertel,03,Unter den Linden Süd,010112,01011203
01,Mitte,01,Zentrum,12,Regierungsviertel,04,Leipziger Str.,010112,01011204
01,Mitte,01,Zentrum,13,Alexanderplatz,01,Charitéviertel,010113,01011301
01,Mitte,01,Zentrum,13,Alexanderplatz,02,Oranienburger Str.,010113,01011302
01,Mitte,01,Zentrum,13,Alexanderplatz,03,Alexanderplatzviertel,010113,01011303
01,Mitte,01,Zentrum,13,Alexanderplatz,04,Karl-Marx-Allee,010113,01011304
01,Mitte,01,Zentrum,13,Alexanderplatz,05,Heine-Viertel West,010113,01011305
01,Mitte,01,Zentrum,13,Alexanderplatz,06,Heine-Viertel Ost,010113,01011306
01,Mitte,01,Zentrum,14,Brunnenstr. Süd,01,Invalidenstr.,010114,01011401
01,Mitte,01,Zentrum,14,Brunnenstr. Süd,02,Arkonaplatz,010114,01011402
01,Mitte,02,Moabit,21,Moabit West,01,Huttenkiez,010221,01022101
01,Mitte,02,Moabit,21,Moabit West,02,Beusselkiez,010221,01022102
01,Mitte,02,Moabit,21,Moabit West,03,Westhafen,010221,01022103
01,Mitte,02,Moabit,21,Moabit West,04,Emdener Str.,010221,01022104
01,Mitte,02,Moabit,21,Moabit West,05,Zwinglistr.,010221,01022105
01,Mitte,02,Moabit,21,Moabit West,06,Elberfelder Str.,010221,01022106
01,Mitte,02,Moabit,22,Moabit Ost,01,Stephankiez,010222,01022201
01,Mitte,02,Moabit,22,Moabit Ost,02,Heidestr.,010222,01022202
01,Mitte,02,Moabit,22,Moabit Ost,03,Lübecker Str.,010222,01022203
01,Mitte,02,Moabit,22,Moabit Ost,04,Thomasiusstr.,010222,01022204
01,Mitte,02,Moabit,22,Moabit Ost,05,Zillesiedlung,010222,01022205
01,Mitte,02,Moabit,22,Moabit Ost,06,Lüneburger Str.,010222,01022206
01,Mitte,02,Moabit,22,Moabit Ost,07,Hansaviertel,010222,01022207
01,Mitte,03,Gesund-        brunnen,31,Osloer Straße,01,Soldiner Str.,010331,01033101
01,Mitte,03,Gesund-        brunnen,31,Osloer Straße,02,Gesundbrunnen,010331,01033102
01,Mitte,03,Gesund-        brunnen,32,Brunnenstr. Nord,01,Brunnenstr.,010332,01033201
01,Mitte,03,Gesund-        brunnen,32,Brunnenstr. Nord,02,Humboldthain Süd,010332,01033202
01,Mitte,03,Gesund-        brunnen,32,Brunnenstr. Nord,03,Humboldthain NW,010332,01033203
01,Mitte,04,Wedding,41,Parkviertel,01,Rehberge,010441,01044101
01,Mitte,04,Wedding,41,Parkviertel,02,Schillerpark,010441,01044102
01,Mitte,04,Wedding,41,Parkviertel,03,Westl. Müllerstr.,010441,01044103
01,Mitte,04,Wedding,42,Wedding Zentrum,01,Reinickendorfer Str.,010442,01044201
01,Mitte,04,Wedding,42,Wedding Zentrum,02,Sparrplatz,010442,01044202
01,Mitte,04,Wedding,42,Wedding Zentrum,03,Leopoldplatz,010442,01044203
02,Friedrichshain-Kreuzberg,01,"Kreuzberg
   Nord",01,Südliche Friedrichstadt,01,Askanischer Platz,020101,02010101
02,Friedrichshain-Kreuzberg,01,"Kreuzberg
   Nord",01,Südliche Friedrichstadt,02,Mehringplatz,020101,02010102
02,Friedrichshain-Kreuzberg,01,"Kreuzberg
   Nord",01,Südliche Friedrichstadt,03,Moritzplatz,020101,02010103
02,Friedrichshain-Kreuzberg,01,"Kreuzberg
   Nord",01,Südliche Friedrichstadt,04,Wassertorplatz,020101,02010104
02,Friedrichshain-Kreuzberg,02,Kreuzberg  Süd,02,Tempelhofer Vorstadt,01,Gleisdreieck/           Entwicklungsgebiet,020202,02020201
02,Friedrichshain-Kreuzberg,02,Kreuzberg  Süd,02,Tempelhofer Vorstadt,02,Rathaus Yorckstraße,020202,02020202
02,Friedrichshain-Kreuzberg,02,Kreuzberg  Süd,02,Tempelhofer Vorstadt,03,Viktoriapark,020202,02020203
02,Friedrichshain-Kreuzberg,02,Kreuzberg  Süd,02,Tempelhofer Vorstadt,04,Urbanstraße,020202,02020204
02,Friedrichshain-Kreuzberg,02,Kreuzberg  Süd,02,Tempelhofer Vorstadt,05,Chamissokiez,020202,02020205
02,Friedrichshain-Kreuzberg,02,Kreuzberg  Süd,02,Tempelhofer Vorstadt,06,Graefekiez,020202,02020206
02,Friedrichshain-Kreuzberg,03,Kreuzberg Ost,03,nördliche Luisenstadt,01,Oranienplatz,020303,02030301
02,Friedrichshain-Kreuzberg,03,Kreuzberg Ost,03,nördliche Luisenstadt,02,Lausitzer Platz,020303,02030302
02,Friedrichshain-Kreuzberg,03,Kreuzberg Ost,04,südliche Luisenstadt,01,Reichenberger Straße,020304,02030401
02,Friedrichshain-Kreuzberg,03,Kreuzberg Ost,04,südliche Luisenstadt,02,Wrangelkiez,020304,02030402
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,05,Karl-Marx-Allee-Nord,01,Barnimkiez,020405,02040501
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,05,Karl-Marx-Allee-Nord,02,Friedenstraße,020405,02040502
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,05,Karl-Marx-Allee-Nord,03,Richard-Sorge-Viertel,020405,02040503
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,07,Karl-Marx-Allee-Süd,01,Andreasviertel,020407,02040701
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,07,Karl-Marx-Allee-Süd,02,Weberwiese,020407,02040702
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,07,Karl-Marx-Allee-Süd,03,Wriezener Bahnhof/          Entwicklungsgebiet,020407,02040703
02,Friedrichshain-Kreuzberg,04,Friedrichs-           hain West,07,Karl-Marx-Allee-Süd,03,Wriezener Bahnhof/          Entwicklungsgebiet,020407,02040703
02,Friedrichshain-Kreuzberg,05,Friedrichs-      hain Ost,06,Frankfurter Allee Nord,01,Hausburgviertel,020506,02050601
02,Friedrichshain-Kreuzberg,05,Friedrichs-      hain Ost,06,Frankfurter Allee Nord,02,Samariterviertel,020506,02050602
02,Friedrichshain-Kreuzberg,05,Friedrichs-      hain Ost,08,Frankfurter Allee Süd FK,01,Traveplatz,020508,02050801
02,Friedrichshain-Kreuzberg,05,Friedrichs-      hain Ost,08,Frankfurter Allee Süd FK,02,Boxhagener Platz,020508,02050802
02,Friedrichshain-Kreuzberg,05,Friedrichs-      hain Ost,08,Frankfurter Allee Süd FK,03,Stralauer Kiez,020508,02050803
02,Friedrichshain-Kreuzberg,05,Friedrichs-      hain Ost,08,Frankfurter Allee Süd FK,04,Stralauer Halbinsel,020508,02050804
03,Pankow,01,Buch,01,Buch,1,Bucher Forst,030101,0301011
03,Pankow,01,Buch,01,Buch,2,Buch,030101,0301012
03,Pankow,01,Buch,01,Buch,4,Lietzengraben,030101,0301014
03,Pankow,02,Nördliches      Pankow,02,Blankenfelde/       Niederschönhausen,03,Blankenfelde,030202,03020203
03,Pankow,02,Nördliches      Pankow,02,Blankenfelde/       Niederschönhausen,9,Niederschönhausen,030202,0302029
03,Pankow,02,Nördliches      Pankow,02,Blankenfelde/       Niederschönhausen,10,Herthaplatz,030202,03020210
03,Pankow,02,Nördliches      Pankow,03,Buchholz,7,Buchholz,030203,0302037
03,Pankow,03,Nördliches Weißensee,04,Karow,05,Karow-Nord,030304,03030405
03,Pankow,03,Nördliches Weißensee,04,Karow,6,Alt-Karow,030304,0303046
03,Pankow,03,Nördliches Weißensee,07,Blankenburg/Heinersdorf/       Märchenland,11,Blankenburg,030307,03030711
03,Pankow,03,Nördliches Weißensee,07,Blankenburg/Heinersdorf/       Märchenland,15,Heinersdorf,030307,03030715
03,Pankow,03,Nördliches Weißensee,07,Blankenburg/Heinersdorf/       Märchenland,16,Märchenland,030307,03030716
