ref,type,datasource,content
1,titel,,Kurzporträt der Bezirksregion – Stadträumliche Struktur
1,titel-sm,,Größe und Abgrenzung
1,text,,"Biesdorf hat eine Größe von rund 1.240 Hektar und gehört damit zu den flächenmäßig größten Stadtteilen. Seine aktuelle Einwohnerzahl von 25.570 Personen (Stand 31.12.2014) macht ungefähr 10 % der Bezirksbevölkerung aus. Die Bevölkerungsdichte beträgt ca. 20,5 Einwohner/innen pro Hektar."
1,text,,"Der Stadtteil wird im Norden durch die Elisabethstraße und den Erholungspark Marzahn mit den Gärten der Welt, im Osten durch die Wuhle, im Süden durch die Bezirksgrenze zu Treptow-Köpenick (Ortsteil Köpenick), im Westen durch die Bezirksgrenze zu Lichtenberg und die Ortsteilgrenze zur Großsiedlung Marzahn begrenzt. "
1,text,,Biesdorf gliedert sich in vier Planungsräume (PLR): <li><ul>Oberfeldstraße (PLR 24)</ul><ul>Buckower Ring (PLR 25)</ul><ul>Alt-Biesdorf (PLR 26) und</ul><ul>Biesdorf-Süd (PLR 27)</ul>
1,titel-sm,,Gebietsbeschreibung
1,text,,"Zusammen mit den Ortsteilen Mahlsdorf und Kaulsdorf bildet Biesdorf das größte zusammenhängende Siedlungsgebiet Europas, das vorwiegend mit kleinteiliger Bebauung in Form von Einfamilien- und Doppelhäusern geprägt ist. Die Grenze nach Kaulsdorf bildet die Wuhle, die in Nord-Süd-Richtung den gesamten Bezirk durchzieht und mit dem Eiche-Park, den Gärten der Welt, der Biesdorfer Höhe, den Schmetterlingswiesen und dem Wuhlesee einen erlebbaren Natur-, Landschafts- und Erholungsraum bietet.<br><br><br>Im Norden des Ortsteiles befindet sich zur Wuhle hin, die in den 90er Jahren entstandene Ringelnatzsiedlung, mit einer in sich geschlossenen dreigeschossigen Bebauungsstruktur. Auf der Südseite der Cecilienstraße entstand im Zusammenhang mit der Errichtung der Großsiedlung Marzahn ein Quartier in der typischen Plattenbauweise mit dem dazugehörigen und in jüngster Zeit aufgewerteten Nahversorgungszentrum. (Zentrenkonzept 2013)"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
