Spalten Titel 1,Spalten Titel 2,...,,,,,,
Wert 1 Spalte 1,Wert 1 Spalte 2,,,,,,,
Wert 2 Spate 1,Wert 2 Spalte 2,,,,,,,
...,...,,,,,,,
,,,,,,,,
,,,,,,,,
Räumliche Ebene,,Einwohner/-innen (EW),,,Veränderung EW gesamt in %,,Veränderung des Anteils ♀ in %,
,,absolut,absolut ♀,Anteil ♀ in %,Vorjahr,5 Jahre,Vorjahr,5 Jahre
1101,Stülerstraße,3 225,1 552,48.1,3.6,10.1,3.4,8
1102,Großer Tiergarten,185,73,39.5,"– 3,6",2.8,"– 5,2","– 9,9"
1103,Lützowstraße,5 173,2 379,46,"– 6,3",7.4,"– 3,6",8.2
1104,Körnerstraße,4 786,2 179,45.5,1.7,22.3,2.1,19.3
1105,Nördlicher Landwehrkanal,1 225,570,46.5,7.9,23,7.8,35.7
11,Bezirksregion Tiergarten Süd,14 594,6 753,46.3,"– 0,5",13.7,0.7,13.2
1,Bezirk Mitte,377 965,181 702,48.1,1.8,11.2,1.7,10.2
0,Berlin,3 711 930,1 875 922,50.5,1.1,7,1,5.9
,,,,,,,,
Erläuterungen siehe Anlage 1 Demografische Grundzahlen (Quelle: AfS BB Stand 31.12.2017),,,,,,,,
