ref,type,datasource,content
1,titel,,Einleitung
1,titel-sm,,Zielsetzung der Bezirksregionenprofile (BZRP)
1,text,,"Die BZRP stellen in Berlin einen wesentlichen Baustein für die Umsetzung der Sozialraumorientierung dar. Integriertes Planen und Handeln erfordert eine verbindliche Arbeits- und Verständigungsgrundlage, sowohl für das sozialraumorientierte, wie auch ressort- und ebenenübergreifende Handeln. Wichtig dafür sind verlässliche Informationen zu verschiedenen Bereichen. Die BZRP können und wollen aber keine Fachplanungen ersetzen. Vielmehr stellen die BZRP ein qualifiziertes Blitzlicht auf die Lage einer Bezirksregion dar und können somit die Basis für die Abstimmung der gemeinsamen Ziele und Maßnahmen bilden."
1,titel-sm,,Bereitstellung und Aktualisierung der Daten
1,text,,"Die Kernindikatoren und demografischen Grunddaten werden über den abgestimmten Datenpool des Amtes für Statistik Berlin-Brandenburg (AfS BB) zur Verfügung gestellt.Die Kernindikatoren und demografischen Grunddaten werden über den abgestimmten Datenpool des Amtes für Statistik Berlin-Brandenburg (AfS BB) zur Verfügung gestellt. 
Die Verfügbarkeit und Aktualität der durch das AfS BB zusammengetragenen Informationen wird bestimmt durch unterschiedliche Stichtage der einzelnen Datenbereitsteller (Bundesagentur für Arbeit, div. Senatsverwaltungen, etc.). Daraus resultiert die Aktualität der in die BZRP einfließenden Daten. 
Die vorliegenden BZRP sind einen umfangreichen Entwicklungsprozess durchlaufen. Während dieser Zeit war es nicht möglich den fortlaufend aktuellsten Stand aller Daten zu berücksichtigen, so dass die Kernindikatoren und demografischen Grunddaten in den vorliegenden BZRP, sofern nicht explizit ausgewiesen, einen Stand vom 31.12.2017 haben. 
Alle anderen Informationen, welche auf bezirklicher Ebene erfasst und über das ISIS bereitgestellt werden (z.B. Infrastruktureinrichtungen, Förderprogramme, Projekte, etc.) entsprechen dem Stand vom 31.12.2018. 
Zukünftig werden die BZRP zu einem Stichtag aktualisiert, zu dem die wichtigsten Informationen am aktuellsten sind. Dieser Stichtag wurde bisher noch nicht verbindlich festgelegt. Die BZRP werden in einem Zyklus von zwei Jahren fortgeschrieben. Die Verfügbarkeit und Aktualität der durch das AfS BB zusammengetragenen Informationen wird bestimmt durch unterschiedliche Stichtage der einzelnen Datenbereitsteller (Bundesagentur für Arbeit, div. Senatsverwaltungen, etc.). Daraus resultiert die Aktualität der in die BZRP einfließenden Daten.
 Alle anderen Informationen, welche auf bezirklicher Ebene erfasst und über das ISIS bereitgestellt werden (z.B. Infrastruktureinrichtungen, Förderprogramme, Projekte, etc.) entsprechen dem Stand vom 31.12.2018."
1,map-pr,Abb. 4_   Anteil der EW mit Migrationshintergrund ,
1,linechart,Abb. 5_   Wanderungssaldo_Linien,
1,,,
1,,,
1,,,
1,,,
1,,,
1,text,,"Zukünftig werden die BZRP zu einem Stichtag aktualisiert, zu dem die wichtigsten Informationen am aktuellsten sind. Dieser Stichtag wurde bisher noch nicht verbindlich festgelegt. Die BZRP werden in einem Zyklus von zwei Jahren fortgeschrieben."
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
