ref,type,datasource,content
1,titel,,"Kurzporträt der Bezirksregion – stadträumliche Struktur"
1,text,,Die Bezirksregion (BZR) Friedenau umfasst den Ortsteil Friedenau und den südlichen Teil des Ortsteils Schöneberg. Sie liegt unterhalb der Bahntrasse der Ringbahn und reicht bis zur Bezirksgrenze zu Steglitz-Zehlendorf an der Gutsmuthstraße. Westlich beginnt die BZR an der Bezirksgrenze zu Charlottenburg-Wilmersdorf an der Laubacher Straße und reicht östlich bis an die Bahntrasse der Dresdner Bahn am Naturpark Schöneberger Südgelände. Die Siedlungsstruktur der BZR ist homogen durch verdichtete Blockrandbebauung geprägt. Die BZR umfasst eine Fläche von rund 454 Hektar.
1,text,,Die BZR Friedenau (LOR-Nummer: 070303) gliedert sich in die drei Planungsräume (PLR): <li><ul>Friedenau (07030301)</ul><ul>Ceciliengärten (07030302) und </ul> <ul> Grazer Platz (07030303)</ul></li>
1,text,,"Zum Ende 2015 waren in der BZR Friedenau rund 46.000 Personen melderechtlich registriert. In den vergangenen fünf Jahren ist die Zahl der Einwohnenden in der BZR um 1,6% gestiegen. Der Anteil der Ausländer_innen liegt mit rund 16% unter dem bezirklichen Vergleichswert. Die Altersstruktur zeigt einen überdurchschnittlichen Anteil an unter 18-Jährigen in der BZR auf, der Anteil der über 65-Jährigen ist hingegen unter dem bezirklichen Vergleichswert.<br /> Die Bezirksregion umfasst den westlichen Teil von Friedenau mit seinen hufeisenförmig angelegten Straßen und kleinen Stadtplätzen, der bis heute als gehobene Wohngegend gilt, die großzügig im Stil englischer Gartenstädte angelegte Siedlung an den „Ceciliengärten“ und das Gebiet Grazer Platz, das sich östlich der S-Bahnlinie befindet und die denkmalgeschützte Siedlung entlang des Grazer Dammes aus den 30er Jahren umfasst. Ebenso liegen ausgedehnte Kleingartenflächen am Schöneberger Südgelände am östlichen Rand des Planungsraumes, die in den Naturpark am Insulaner übergehen."
1,table,table2,
1,text,,Die Kernindikatoren zum Stand Dezember 2015 zeigen für die BZR auffällige Werte in Bezug auf: <ul><li>die Relation der Fläche der öffentlichen Spielplätze zu der Anzahl der Einwohnenden<br>(Aufmerksamkeitsstufe 2 im bezirklichen und gesamtstädtischen Vergleich)</li><li>den Anteil der unter 18-Järigen an den Einwohner_innen (Aufmerksamkeitsstufe 3 im bezirklichen Vergleich)</li></ul>
1,text,,"Im Monitoring Soziale Stadtentwicklung 2015 wurde die BZR Friedenau dem Sozial-Index mittel und dem Dynamik-Index stabil zugeordnet (keine Veränderung zu MSS 2013). In der BZR gilt für ein Gebiet im Ortsteil Friedenau eine Verordnung über die Erhaltung baulicher Anlagen und der städtebaulichen Eigenart. Für ein Verdachtsgebiet in der BZR wird gegenwärtig überprüft, ob die Voraussetzungen für den Erlass einer sozialen Erhaltungsverordnung vorliegen."
1,titel-sm,,1.1 Friedenau
1,text,,"Der PLR liegt unterhalb der Trasse der A100 und reicht südlich bis zur Bezirksgrenze zu Steglitz-Zehlendorf entlang der Bornstraße. Westlich reicht der PLR bis zur Bezirksgrenze zu Charlottenburg-Wilmersdorf entlang der Laubacher Straße, östlich bis zur Rheinstraße / Hauptstraße. Die Siedlungsstruktur des PLR ist homogen durch verdichtete Blockrandbebauung geprägt. Der PLR umfasst eine Fläche von rund 146 Hektar. Die Fläche des PLR wird überwiegend zur Wohnnutzung verwendet. Zum Ende 2015 waren im PLR rund 24.000 Personen melderechtlich registriert2. In den fünf Jahren zuvor hat sich die Zahl der Einwohnenden im PLR um etwas mehr als 1% erhöht. Der Anteil der Ausländer_innen an den Einwohnenden lag deutlich unter dem bezirklichen Durchschnitt. Die Altersstruktur wies einen durchschnittlichen Anteil an Personen über 65 Jahren aus, der Anteil der unter 18-Jährigen lag über dem bezirklichen Vergleichswert. Der Altersdurchschnitt lag bei 43,8 Jahren. <img src=">Abb 2</img>Die Kernindikatoren zum Stand Dezember 2015 zeigen für den PLR auffällige Werte in Bezug auf: <ul><li>einem vergleichsweise hohen positiven Wanderungssaldo der unter 6-Jährigen je 100 Personen dieser Altersgruppe</li></ul><img src=">Ausschnitt</img>"
1,text,,"Im MSS 2015 wies der PLR den Gesamtindex Soziale Ungleichheit 2+/- (mittel/stabil) auf. Im PLR liegen zwei Grundschulen, eine integrierte Sekundarschule und drei Gymnasien (zwei öffentliche, ein privates). Im PLR liegt ebenso das Gebiet des ehemaligen Güterbahnhofs Wilmersdorf, auf dem in den kommenden Jahren umfangreiche Wohnbebauung erfolgen soll. Auf einer Fläche von ca. 60.000 m², werden zurzeit rund 1.000 Wohnungen realisiert. Außerdem werden an der Hauptstraße Flächen für Einzelhandel neu geschaffen."
