lat,lng,text,color
5815319.663252672,388384.30360732094,Sporthalle Schöneberg - Halle >=10x12m bis <15x27m,#1E3791
5815319.663252672,388384.30360732094,Sporthalle Schöneberg - Halle >=22x44m bis <27x45m,
5815319.663252672,388384.30360732094,Sporthalle Schöneberg - Jugend- und Mehrzweckraum,
5815173.221083862,388308.2245254758,"Sportschule des LSB (Gerhard-Schlegel-Sportschule) - Kleinsthalle, Sportraum",
5815173.221083862,388308.2245254758,Sportschule des LSB (Gerhard-Schlegel-Sportschule) - Konditions- und Kraftraum,
5815168.572501023,388331.8344289947,Willy-Weyer-Akademie - Halle >=10x12m bis <15x27m,
5814924.6066425275,388373.09257455793,Berliner Turnerbund - Halle >=10x12m bis <15x27m,
5814924.6066425275,388373.09257455793,Berliner Turnerbund - Halle >=15x27m bis <22x44m,
5814924.6066425275,388373.09257455793,Berliner Turnerbund - Konditions- und Kraftraum,
5814924.6066425275,388373.09257455793,Berliner Turnerbund - Jugend- und Mehrzweckraum,
5814863.558167222,388318.0357744956,Tennisanlage OSC - Jugend- und Mehrzweckraum,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Konditions- und Kraftraum,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Jugend- und Mehrzweckraum,
5815155.081359475,387610.92927053,Waldenburg-Oberschule - Halle >=10x12m bis <15x27m,
5814463.33634817,387594.97765275283,Prignitz-Schule - Halle >=15x27m bis <22x44m,
5814348.7904997105,387550.5029229794,Gemeinschaftsschule Schöneberg (Sekundarstufe im Haus Paul) - Halle >=10x12m bis <15x27m,
5814348.7904997105,387550.5029229794,Gemeinschaftsschule Schöneberg (Sekundarstufe im Haus Paul) - Halle >=10x12m bis <15x27m,
5814569.795665254,387517.8071968007,Peter-Paul-Rubens-Schule - Halle >=10x12m bis <15x27m,
5814362.176050094,386783.3104211869,Fläming-Grundschule - Halle >=15x27m bis <22x44m,
5814362.176050094,386783.3104211869,Fläming-Grundschule - Jugend- und Mehrzweckraum,
5814558.732525762,386169.4887738587,Paul-Natorp-Gymnasium - Halle >=10x12m bis <15x27m,
5814558.732525762,386169.4887738587,Paul-Natorp-Gymnasium - Halle >=10x12m bis <15x27m,
5814558.732525762,386169.4887738587,"Paul-Natorp-Gymnasium - Kleinsthalle, Sportraum",
5814668.411014581,386043.9824258462,Rheingau-Oberschule - Halle >=10x12m bis <15x27m,
5814585.901083421,386044.8135800328,Stechlinsee-Grundschule - Halle >=10x12m bis <15x27m,
5814585.901083421,386044.8135800328,Stechlinsee-Grundschule - Halle >=10x12m bis <15x27m,
5815221.532703768,385972.4042436826,Ruppin-Grundschule - Halle >=10x12m bis <15x27m,
5815221.532703768,385972.4042436826,Ruppin-Grundschule - Halle >=10x12m bis <15x27m,
5815221.532703768,385972.4042436826,Ruppin-Grundschule - Halle >=10x12m bis <15x27m,
5815172.504582234,385921.47533401323,Sportplatz Offenbacher Str. - Jugend- und Mehrzweckraum,
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - 400m-Rundlaufbahn,
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - Großspielfeld,
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - Gymnastikwiese,
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - Gymnastikwiese,
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - Kleinspielfeld<5000m²,
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - LAEA (Kugelstoßen),
5815222.248939072,388359.1530993562,Dominicus-Sportplatz - LAEA (Laufbahn),
5814863.558167222,388318.0357744956,Tennisanlage OSC - Tennisanlage,
5814863.558167222,388318.0357744956,Tennisanlage OSC - Tennisanlage,
5814863.558167222,388318.0357744956,Tennisanlage OSC - Tennisanlage,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - 400m-Rundlaufbahn,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Großspielfeld,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Großspielfeld,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Großspielfeld,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Kleinspielfeld<5000m²,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - Kleinspielfeld<5000m²,
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - LAEA (Kugelstoßen),
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - LAEA (Laufbahn),
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - LAEA (Springen),
5814750.496773239,388195.4948689284,SpA Vorarlberger Damm - LAEA (Springen),
5815214.022193355,387608.5501810101,Eisack-Sportplatz - Kleinspielfeld>=5000m²,
5815214.022193355,387608.5501810101,Eisack-Sportplatz - LAEA (Springen),
5814463.33634817,387594.97765275283,Prignitz-Schule - Kleinspielfeld<5000m²,
5814463.33634817,387594.97765275283,Prignitz-Schule - LAEA (Laufbahn),
5814463.33634817,387594.97765275283,Prignitz-Schule - LAEA (Springen),
5814569.795665254,387517.8071968007,Peter-Paul-Rubens-Schule - Kleinspielfeld<5000m²,
5815299.893394676,386826.1371349896,Friedrich-Bergius-Schule - Kleinspielfeld<5000m²,
5815299.893394676,386826.1371349896,Friedrich-Bergius-Schule - Kleinspielfeld<5000m²,
5815299.893394676,386826.1371349896,Friedrich-Bergius-Schule - LAEA (Laufbahn),
5814362.176050094,386783.3104211869,Fläming-Grundschule - Kleinspielfeld<5000m²,
5814362.176050094,386783.3104211869,Fläming-Grundschule - LAEA (Laufbahn),
5814362.176050094,386783.3104211869,Fläming-Grundschule - LAEA (Springen),
5814558.732525762,386169.4887738587,Paul-Natorp-Gymnasium - Kleinspielfeld<5000m²,
5814558.732525762,386169.4887738587,Paul-Natorp-Gymnasium - Kleinspielfeld<5000m²,
5814796.656693878,386025.3220681458,Sportplatz Wiesbadener Str. 80/81 - Kleinspielfeld<5000m²,
5814796.656693878,386025.3220681458,Sportplatz Wiesbadener Str. 80/81 - LAEA (Springen),
5814796.656693878,386025.3220681458,Sportplatz Wiesbadener Str. 80/81 - LAEA (Springen),
