LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07030301,EKT - Berliner Malbüro,Mainauer Str. 6,12161 Berlin,Berliner Malbüro e.V.,15
07030301,Waldorfkindergarten Friedenau,Sieglindestr. 1,12159 Berlin,EI für Waldorfpädagogik in Schöneberg e.V.,42
07030301,EKT Hauruck,Perelsplatz 10,12159 Berlin,Elterninitiativ-Kindertagesstätte Hauruck e.V.,15
07030301,EKT Sieglindestr. 8,Sieglindestr. 8,12159 Berlin,Eltern-Initiativ-Kindertagesstätte Sieglindestr. 8 e. V.,17
07030301,Kita Philippus,Stierstr. 17-19,12159 Berlin,Ev. Kirchengem. Philippus-Nathanael,63
07030301,Kita Paul und Anna / Ev. Kg Zum Guten Hirten,Goßlerstr. 3,12161 Berlin,Ev. Kirchengemeinde Zum Guten Hirten,61
07030301,EKG - Bundesallee 76A,Bundesallee 76A,12161 Berlin,Ev. Kirchengemeinde Zum Guten Hirten,16
07030301,EKT Friedenauer Kinder,Hertelstr. 1,12161 Berlin,Friedenauer Kinder e.V.,15
07030301,Lori Kids - Internationaler Musikbetonter Kindergarten,Stierstr. 7,12159 Berlin,kids in berlin kib gUG (haftungsbeschränkt),25
07030301,Kinderladen Atze und Co,Wilhelmshöher Str. 9,12161 Berlin,Kinderladen Atze und Co e.V.,15
07030301,Kita Fri-Willi / Kitas Süd-West,Friedrich-Wilhelm-Pl.12,12161 Berlin,Kindertagesstätten Berlin Süd-West,100
07030301,Kita Fehlerstraße,Fehlerstr. 2,12161 Berlin,Kindertagesstätten Berlin Süd-West,133
07030301,EKT - Kraut und Rüben,Schwalbacher Str. 8,12161 Berlin,Kraut und Rüben e.V.,15
07030301,EKT - Milchzahn,Bundesallee 76,12161 Berlin,Milchzahn e.V.,18
07030301,Bilinguales Montessori-Kinderhaus Friedenau,Handjerystr. 46,12161 Berlin,Montessori und Friends Education gGmbH,100
07030301,Kita Lauterstr. 40,Lauterstr. 40,12159 Berlin,Nachbarschaftsheim Schöneberg e.V.,15
07030301,Kita Lauterstr. 30,Lauterstr. 30,12159 Berlin,Nachbarschaftsheim Schöneberg e.V.,20
07030301,Kita Rheingaustraße des Pestalozzi-Fröbel-Hauses,Rheingaustr. 28,12161 Berlin,Pestalozzi-Fröbel-Haus Stiftung des öffentlichen Rechts,53
07030301,Kita Perelsplatz des Pestalozzi-Fröbel-Hauses,Perelsplatz 05,12159 Berlin,Pestalozzi-Fröbel-Haus Stiftung des öffentlichen Rechts,75
07030301,EKT - Rappelschlößchen,Schwalbacher Str. 10,12161 Berlin,Rappelschlößchen e.V.,21
07030301,Kita Rubin,Handjerystr. 60,12161 Berlin,Rubin e. V.,35
07030301,Schöneberger Eltern-Initiativ-Kita,Sieglindestr. 4,12159 Berlin,Schöneberger Eltern-Initiativ-Kindertagesstätte e. V.,15
07030301,Kita Villa Anna-Vorschule-,Niedstr. 30,12159 Berlin,Schöneberger Vorschulerziehung e. V.,40
07030301,Kita Villa Anna,Schmargendorfer Str. 22,12159 Berlin,Schöneberger Vorschulerziehung e. V.,64
07030301,Kita Berliner Spatzen Verein zur Förderung der Mehrsprachigkeit,Hähnelstr. 15A,12159 Berlin,Verein zur Förderung der Mehrsprachigkeit e.V.,27
07030301,Waldorfkindergarten Elfenreigen,Lauterstr. 26,12159 Berlin,Waldorfkindergarten Elfenreigen e.V.,30
