LOR-ID,Name,Anschrift,PLZ / Ort,SuS
07030301,Friedrich-Bergius-Schule (ISS),Perelsplatz 6-9,12159 Berlin,414
07030301,Paul-Nartorp-Gymnasium,Goßlerstr. 13-15,12161 Berlin,757
07030301,Priv. Europa Gymnasium,Hauptstr. 66,12159 Berlin,34
07030301,Rheingau-Gymnasium,Schwalbacher Str. 3-4,12161 Berlin,668
07030301,Ruppin-Grundschule,Offenbacher Str. 5A,14197 Berlin,594
07030301,Stechlinsee-Grundschule,Rheingaustr. 7,12161 Berlin,495
07030302,Fläming-Grundschule,Illstr. 4-6,12161 Berlin,576
07030303,Friedenauer Gemeinschaftsschule,Rubensstr. 63,12157 Berlin,774
07030303,Friedenauer Gemeinschaftsschule,Grazer Platz 1-3,12157 Berlin,
07030303,Friedenauer Gemeinschaftsschule,Otzenstraße 16-17,12159 Berlin,
07030303,Prignitz-Schule (Förderschwerpunkt),Pöppelmannstr. 2,12157 Berlin,97
