LOR-ID,Name,Anschrift,PLZ / Ort,Anmerkung
07030301,Notunterkunft im Rathaus Friedenau,Breslauer Platz,12159 Berlin,"Ehem. Rathaus Friedenau, Notunterkunft für allein reisende Frauen mit/ohne Kinder – derzeit Umbau in GMU"
07030301,Notunterkunft für Flüchtlinge,Niedstraße 1,12159 Berlin,Notunterkunft für Flüchtlinge NU
07030301,Gemeinschaftsunterkunft Nachbarschaftsheim,Handjerystraße 44-45,12161 Berlin,Gemeinschaftsunterkunft für allein reisende Frauen
07030301,Ev. Seniorenheim gGmbH,Albestraße 31,12159 Berlin,Stationäre Pflege
07030301,Katharinenhof in Friedenau,Bennigsenstraße 23/24,12159 Berlin,Stationäre Pflege
07030301,Kontaktstelle Pflegeengagement,Holsteinische Straße 30,12161 Berlin,Beratungsstelle für pflegende Angehörige des gesamten Bezirks
07030301,Thiele-Winckler-Haus,Handjerystraße 88,12159 Berlin,Einrichtung der Eingliederungshilfe
07030301,Tagespflege Diakoniestation Schöneberg,Stierstraße 18,12159 Berlin,Tagespflege
07030302,Erziehungs- und Familienberatung des Bezirksamts Tempelhof-Schöneberg ,Sponholzstraße 15,12159 Berlin,Zuständig für Ratsuchende aus dem ganzen Bezirk
07030302,Unterkunftsprojekt für Wohnungslose,Rembrandtstraße 7,12157 Berlin,Wohnheim für Obdachlose
07030303,Der Nachbar,Cranachstraße 7,12157 Berlin,Stadtteiltreff – Schwerpunkt Pflegende Angehörige und Pflegebedürftige
070303,Gerontopsychiatrischer Verbund Schöneberg ,,,Arbeitsgruppe Friedenau
07020202,Regionaler Sozialdienst des Jugendamtes,John-F.-Kennedy-Platz,10820 Berlin,"Zuständig für Schöneberg Nord, Schöneberg Süd und Friedenau"
