LOR-ID,Name,Fläche in m²,VAG
07030301,Cosimaplatz ,1572,wohnortnah
07030301,Perelsplatz - Gartendenkmal ,7545,wohnortnah
07030301,Renée-Sintenis-Platz - Gartendenkmal ,1609,wohnortnah
07030302,Innsbrucker Platz - Grünanlage ,6993,wohnortnah
07030302,Ceciliengärten - Gartendenkmal ,4295,wohnortnah
07030303,Priesterweg - Zugang Baluschek-Park ,2100,wohnortnah
07030303,Grazer Platz - Grünfläche ,13987,wohnortnah
07030303,Vorarlberger Damm,5863,wohnortnah
07030303,Prellerweg 1-3,493,wohnortnah
07030303,Hans-Baluschek-Park,83338,wohnortnah
07030303,Der Insulaner,95391,siedlungsnah
