PLR,Name,Straße,Anzahl der Parzellen,Fläche in m²,Landeseigentum
07030302,KgA Friedenau,Fregestr. / Wilhelm-Hauf-Str,10,1833,nein
07030303,KgA Alt-Schöneberg,Riemenschneiderweg,96,27646,ja
07030303,KgA Bergfrieden,Matthäifriedhofsweg,90,26605,ja
07030303,KgA Canova,Riemenschneiderweg,144,40425,ja
07030303,KgA Frohsinn,Vorarlberger Damm,90,30800,ja
07030303,KgA Glück im Winkel,Priesterweg,108,32892,ja
07030303,KgA Grüne Aue,Priesterweg,206,50191,ja
07030303,KgA Grünes Tal,Priesterweg,88,24450,ja
07030303,KgA Ideal,Vorarlberger Damm,30,9752,ja
07030303,KgA Heiterkeit,Vorarlberger Damm,34,10650,ja
07030303,KgA Lindenbaum,Priesterweg,19,4557,ja
07030303,KgA Lindenhain,Matthäifriedhofsweg,156,45289,ja
07030303,KgA Luisengärten,Matthäifriedhofsweg,73,23050,ja
07030303,KgA Maxstr.,Kärntener Straße 12-14,35,5995,ja
07030303,KgA Neue Zeit,Priesterweg,73,17050,ja
07030303,KgA Sommerheim,Riemenschneiderweg,100,28300,ja
07030303,KgA Spreewald,Priesterweg,140,43276,ja
07030303,KgA Vorarlberg,Vorarlberger Damm,42,15834,ja
07030303,KgA Alte Ziegenweide,Priesterweg Nr.108,186,47550,ja
07030303,KgA Burenland,Riemenschneiderweg,118,35500,ja
07030303,KgA Einigkeit,Priesterweg,102,22695,ja
07030303,KgA Kaninchenfarm,Priesterweg,101,26400,ja
07030303,KgA Roseneck,Riemenschneiderweg,127,37400,ja
07030303,KgA Samoa,Riemenschneiderweg,129,31800,ja
07030303,KgA Sonnenbad,Priesterweg,218,53200,ja
07030303,KgA Wiedervereinigung,Priesterweg,73,22250,ja
07030303,KgA Wiesengrund,Priesterweg,91,27093,ja
07030303,KgA Priesterweg / Sembritzkistraße,Priesterweg,31,12383,nein
