LOR-ID,Name,Bemerkung,Widmung
07030301,Retzdorffpromenade 4 - Spielplatz ,-,gewidmet 
07030301,Niedstr. 8 ,-,gewidmet 
07030301,Handjerystr. 97 ,"Friedrich-Bergius-Schule, Streetball ",gewidmet 
07030301,Görrestr. 16 / Bachestr. 10 ,-,gewidmet 
07030301,Perelsplatz - Spielplatz ,-,gewidmet 
07030301,Bornstr./ Büsingstr. 21 ,"Bolzplatz, Beach-Volley etc. ",gewidmet 
07030301,Handjerystr. 27 ,"Niedstr., Bolzplatz etc. ",gewidmet 
07030301,Schwalbacher Str. 9 / Rheingaustr. ,Stechlinsee-Grundschule ,gewidmet 
07030301,Stubenrauchstr. 6 ,-,gewidmet 
07030301,Handjerystr. 61 ,-,gewidmet 
07030301,Friedrich-Wilhelm-Platz - Spielplatz ,Bolzplatz ,-
07030302,Dickhardtstr. 16 ,-,gewidmet 
07030302,Sponholzstr. ,Bolzplatz ,-
07030302,Wielandstr. 40/41 ,Bolzplatz etc. ,gewidmet 
07030302,Ceciliengärten - Spielplatz ,-,gewidmet 
07030302,Innsbrucker Platz - Spielplatz ,Bolzplatz etc. ,gewidmet 
07030302,Baumeisterstr. ,am S-Bahnhof Friedenau ,gewidmet 
07030303,Der Insulaner - Spielwiese ,ehem. Rodelbahn ,gewidmet 
07030303,Menzelstr. 5/6 Ecke Beckerstr. ,KFE "Menzeldorf" ,-
07030303,Priesterweg 21 ,am Baluschek-Park ,gewidmet 
07030303,Riemenschneider Weg 11 ,ggü. Peter-Vischer-Straße ,gewidmet 
07030303,Grazer Platz - Spielplatz ,"Bolzplatz, Skateanlage etc. ",gewidmet 
07030303,Hans-Baluschek-Park,"wegbegleitendes Spielangebot, Streetball ",gewidmet 
07030303,Cranachstr. 25 ,"Peter-Vischer-Str. 10, Bolzplatz etc. ",gewidmet 
07030303,Der Insulaner - Spielplatz ,-,gewidmet 
