Räumliche Ebene,0 < 6 J.,6 < 15 J.,15 < 18 J.,18 < 25 J.,25 < 55 J.,55 < 65 J.,65 < 80 J.,80 J. und mehr
07030301 (abs.),1270,1896,624,1594,10656,3455,3769,805
07030301 (%),5.3,7.9,2.6,6.6,44.3,14.4,15.7,3.3
07030302 (abs.),504,696,219,711,4012,1397,1414,284
07030302 (%),5.5,7.5,2.4,7.7,43.4,15.1,15.3,3.1
07030303 (abs.),740,974,320,1082,5800,1490,1471,337
07030303 (%),6.1,8,2.6,7.4,45,12.2,12,2.8
070303 (abs.),2514,3566,1163,3387,20468,6342,6654,1426
070303 (%),5.5,7.8,2.6,7.4,45,13.9,14.6,3.1
07 abs.,18109,24372,8232,25081,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16,4.8
