PLR,Name,Anschrift,PLZ
7030301,Friedrich-Bergius-Schule (ISS),Perelsplatz 6-9,12159
7030301,Paul-Nartorp-Gymnasium,Goálerstr. 13-15,12161
7030301,Priv. Europa Gymnasium,Hauptstr. 66,12159
7030301,Rheingau-Gymnasium,Schwalbacher Str. 3-4,12161
7030301,Ruppin-Grundschule,Offenbacher Str. 5A,14197
7030301,Stechlinsee-Grundschule,Rheingaustr. 7,12161
7030302,Fl„ming-Grundschule,Illstr. 4-6,12161
7030303,Friedenauer Gemeinschaftsschule,Rubensstr. 63,12157
7030303,Friedenauer Gemeinschaftsschule,Grazer Platz 1-3,12157
7030303,Friedenauer Gemeinschaftsschule,Otzenstraáe 16-17,12159
7030303,Prignitz-Schule (F”rderschwerpunkt),P”ppelmannstr. 2,12157
