ref,type,datasource,content
1,titel,,BZRP Lichtenrade (070707)
1,titel-sm,,Impressum
1,text,,"Herausgegeben durch Bezirksamt Tempelhof-Schöneberg von Berlin, Organisationseinheit Sozialraumorientierte Planungskoordination (OE SPK).<br>Koordination: Ulrich Binner (Datenkoordination, SPK DK). Bearbeitungsstand: beschlossen durch AG SRO am 16.11.2017, beschlossen durch Bezirksamt Tempelhof-Schöneberg am 06.02.2018.<br>Datenstand: KID & DGZ 12/2015, ergänzende Daten wie angegeben."
1,titel,,Kurzporträit der Bezirksregion
1,titel-sm,,"Nachbearbeiteter Ausschnitt Digitale Orthophotos 2017, BZR 070707 mit PLR Grenzen. Quelle:<br>Geoportal Berlin "
1,image,070505_Abb_01.png,
1,text,,Die Bezirksregion (BZR) Lichtenrade ist deckungsgleich mit dem Ortsteil Lichtenrade. Sie zieht sich rechteckig von der Spitze der Föttinger Zeile und der Grenze zum Bezirk Neukölln nach Süden bis an die Grenze zum Land Brandenburg (Landkreis Teltow-Fläming). Westlich beginnt die BZR an der Grenze zur BZR Marienfelde und reicht östlich bis zur Grenze zum Land Brandenburg (Landkreis Dahme Spreewald).<br>Die BZR umfasst eine Fläche von rund 1.004 Hektar und ist in Bezug auf die Fläche die zweitgrößte BZR in Tempelhof-Schöneberg
1,text,,"Die BZR Lichtenrade (LOR-Nummer: 070707) gliedert sich in die sieben Planungsräume: <br>- Kettinger Straße / Schillerstraße (07070701), <br>- Alt-Lichtenrade / Töpchiner Weg (07070702), <br>- John-Locke-Straße (07070703), <br>- Nahariyastraße (07070704), <br>- Franziusweg / Rohrbachstr. (07070705), <br>- Horstwalder Straße / Paplitzer Straße (07070706) und <br>- Wittelsbacherstraße (07070707) "
1,text,,"Zum Ende 2015 waren in der BZR Lichtenrade rund 50.000 Personen melderechtlich regis-triert. In den vergangenen fünf Jahren ist die Zahl der Einwohnenden in der BZR um 1,5% gestiegen. Der Anteil der Ausländer_innen liegt in Lichtenrade mit rund 9% deutlich unter dem bezirklichen Durchschnitt. <br>Die Altersstruktur weist Anteile an unter 18-Jährigen und über 65-Jährigen auf, die über den gesamtbezirklichen Vergleichswerten liegen. Die BZR Lichtenrade weist den höchsten Anteil an Personen im Alter von 65 Jahren und mehr der BZR in Tempelhof-Schöneberg auf. Der Altersdurchschnitt lag in der BZR bei 46,9 Jahren. Die BZR Lichtenrade weist damit den höchsten Altersdurchschnitt der BZR in Tempelhof-Schöneberg auf.<br><br>Lichtenrade ist historisch ländlich geprägt. Die Form des alten Dorfangers ist noch heute gut zu erkennen. Er ist von vielen Bäumen umsäumt, sodass er wie ein kleiner Park wirkt. Nach der Eingemeindung der Teltower Landgemeinde 1920 nach Groß-Berlin wurden die Acker-flächen nach und nach mit Einfamilienhäusern bebaut. Voraussetzung dafür war der Bau der Dresdner Bahn, die 1883 einen Haltepunkt in Lichtenrade erhielt. Als Verbindung zwischen Dorf und Haltepunkt wurde die Bahnhofstraße angelegt, die bis heute das Einkaufszentrum von Lichtenrade ist. In den 1960er und 1970er Jahren entstanden mehrere Hochhaussied-lungen in Lichtenrade: Petruswerk-Siedlung (Bornhagenweg), Lichtenrade-Mitte (John-Locke-Siedlung, Steinstraße) und Lichtenrade-Ost (Nahariyastraße). Um den in Lichtenrade-Ost lebenden Menschen mehr Erholungsmöglichkeiten zu bieten, wurde ab 1979 der Lichtenrader Volkspark angelegt, im Wesentlichen durch eine örtliche Bürgerinitiative."
1,titel-sm,,"Überblick BZR 070707, Stand: 31.12.2015. Quelle: AfS, eigene Zusammenstellung"
1,table,tab_01,
1,text,,"Die Kernindikatoren zum Stand Dezember 2015 zeigen für die BZR auffällige Werte in Bezug auf:<br>- die Relation der Fläche der öffentlichen Spielplätze zu der Anzahl der Einwohnenden (Aufmerksamkeitsstufe 2 im bezirklichen und gesamtstädtischen Vergleich)<br>- den Anteil der unter 18-Jährigen an allen Einwohner_innen (Aufmerksamkeitsstufe 3 im bezirklichen Vergleich)<br>- den Anteil 65-Jähriger und Älterer an allen Einwohner_innen (Aufmerksamkeitsstufe 3 im bezirklichen und gesamtstädtischen Vergleich)<br>- den Wanderungssaldo Einwohner_innen unter 6 Jahren je 100 Einwohner_innen unter 6 Jahren (Aufmerksamkeitsstufe 3 im bezirklichen und Aufmerksamkeitsstufe 2 im gesamtstädtischen Vergleich)<br>- den Anteil der alleinerziehenden Bedarfsgemeinschaften (BG) an den BG mit Kindern nach SGB II (Aufmerksamkeitsstufe 3 im bezirklichen und Aufmerksamkeitsstufe 2 im gesamtstädtischen Vergleich)<br>- den negativen Dynamik-Index auf BZR-Ebene gem. MSS 2015<br><br>Die weiteren Kernindikatoren, für die Aufmerksamkeitsstufen vergeben werden, liegen im neutralen Bereich oder im Bereich der Aufmerksamkeitsstufe 1 (keine Aufmerksamkeit geboten).<br>Im Monitoring Soziale Stadtentwicklung 2015 (MSS 2015) wurde die BZR Lichtenrade mit dem Sozial-Index mittel und dem Dynamik-Index negativ bewertet (keine Veränderung zu MSS 2013).<br>Für die Abendrotsiedlung sowie Teile von Alt-Lichtenrade bestehen Verordnungen über die Erhaltung baulicher Anlagen und der städtebaulichen Eigenart."
1,titel,,1.1 Kettinger Stra0e / Schillerstraße
1,titel-sm,,"Ausschnitt PLR 07070701. Quelle: BK10, GeoVerm BA-TS"
1,image,070707_Abb_02.png,
1,text,,"Der PLR verläuft rautenförmig unterhalb der Föttinger Zeile bis zur Barnetstraße. Die westli-che Grenze des PLR bildet die Bebauungslinie entlang des Rapstedter Wegs, östlich reicht das Gebiet bis zum Lichtenrader Damm. Die Siedlungsstruktur weist als Hauptprägung Ein-familienhausgebiete und als Nebenprägung Siedlungsbau der 50er Jahre auf. Die Fläche des PLR wird überwiegend zum Wohnen genutzt. Der PLR umfasst eine Fläche von rund 236 Hektar und gehört zu den größeren PLR des Bezirks.<br>Zum Ende 2015 waren im PLR rund 10.000 Personen melderechtlich registriert. In den fünf Jahren zuvor hat sich die Zahl der Einwohnenden im PLR kaum verändert. Der Anteil der Ausländer_innen an den Einwohnenden lag weit unter dem bezirklichen Durchschnitt. Die Altersstruktur wies einen hohen Anteil an Personen über 65 Jahren auf, der Anteil der unter 18-Jährigen lag auch über dem bezirklichen Vergleichswert. Der Altersdurchschnitt lag bei 47,8 Jahren.<br>Die Kernindikatoren zum Stand Dezember 2015 zeigen für diesen PLR keine auffälligen Werte. <br>Im MSS 2015 wies der PLR den Gesamtindex Soziale Ungleichheit 2+/- (mittel/stabil) auf.<br>Im PLR befinden sich zwei Grundschulen, zwei integrierte Sekundarschulen, eine Jugend-freizeiteinrichtung und eine Seniorenfreizeitstätte."
1,titel,,1.2 Alt-Lichtenrade / Töpchiner Weg
1,titel-sm,,"Ausschnitt PLR 07070702. Quelle: BK10, GeoVerm BA-TS"
1,image,070707_Abb_03.png,
1,text,,"Der PLR liegt unterhalb des Rademeierwegs und reicht südlich zur Groß-Ziethener-Straße. Die westliche Grenze des PLR bildet der Lichtenrader Damm, östlich endet der PLR an der Grenze zum Landkreis Dahme-Spreewald des Landes Brandenburgs. Die Siedlungsstruktur des PLR ist homogen durch Einfamilienhausgebiete geprägt. Die Fläche des PLR wird über-wiegend zur Wohnnutzung verwendet. Der PLR umfasst eine Fläche von rund 200 Hektar und gehört zu den größeren PLR des Bezirks.<br>Zum Ende 2015 waren im PLR rund 10.000 Personen melderechtlich registriert. In den fünf Jahren zuvor hat sich die Zahl der Einwohnenden im PLR um mehr als 2% erhöht. Der Anteil der Ausländer_innen an den Einwohnenden lag deutlich unter dem bezirklichen Durchschnitt. Die Altersstruktur wies einen hohen Anteil an Personen über 65 Jahren auf, der Anteil der unter 18-Jährigen lag aber auch etwas über dem bezirklichen Vergleichswert. Der Altersdurchschnitt lag bei 46,7 Jahren.<br><br>Die Kernindikatoren zum Stand Dezember 2015 zeigen für den PLR auffällige Werte in Bezug auf:<br>- einem vergleichsweise hohen positiven Wanderungssaldo je 100 Einwohner_innen <br>- einem vergleichsweise sehr hohen positiven Wanderungssaldo der unter 6-Jährigen je 100 Personen dieser Altersgruppe<br><br>Im MSS 2015 wies der PLR den Gesamtindex Soziale Ungleichheit 2+/- (mittel/stabil) auf.<br>Im PLR befinden sich zwei Grundschulen."
1,titel,,1.3 John-Locke-Straße
1,titel-sm,,"Ausschnitt PLR 07070703. Quelle: BK10, GeoVerm BA-TS"
1,image,070707_Abb_04.png,
1,text,,"Der PLR liegt südlich der Barnetstraße und reicht bis zur Goltzstraße. Die westliche Grenze bildet die Bahntrasse der Dresdner Bahn, östlich reicht der PLR bis an den Lichtenrader Damm. Die Siedlungsstruktur weist als Hauptprägung Großsiedlungen der 60er – 80er Jahre und als Nebenprägung Einfamilienhausgebiete auf. Die Fläche des PLR wird überwiegend zur Wohnnutzung verwendet. Der PLR umfasst eine Fläche von rund 110 Hektar.<br>Zum Ende 2015 waren im PLR rund 7.400 Personen melderechtlich registriert. In den fünf Jahren zuvor hat sich die Zahl der Einwohnenden im PLR um rund 5% verringert. Der Anteil der Ausländer_innen an den Einwohnenden lag deutlich unter dem bezirklichen Durchschnitt. Die Altersstruktur wies einen hohen Anteil an Personen über 65 Jahren auf, der Anteil der unter 18-Jährigen lag deutlich unter dem bezirklichen Vergleichswert. Der Altersdurchschnitt lag bei 49,5 Jahren.<br><br>Die Kernindikatoren zum Stand Dezember 2015 zeigen für den PLR auffällige Werte in Bezug auf:<br>- den erhöhten Anteil von Arbeitslosen nach SGB II und III an den Einwohner_innen im Alter zwischen 15 und 65 Jahren<br>- den erhöhten Anteil von Arbeitslosen nach dem SGB II und III unter 25 Jahren an der entsprechenden Altersgruppe <br>- den erhöhten Anteil von Personen in SGB II an den Einwohner_innen unter 65 Jahren<br>- den erhöhten Anteil der Personen unter 15 Jahren in Bedarfsgemeinschaften nach SGB II an Einwohner_innen unter 15 Jahren<br><br>Im MSS 2015 wies der PLR den Gesamtindex Soziale Ungleichheit 2+/- (mittel/stabil) auf.<br>Im PLR befinden sich eine Grundschule und zwei Gymnasien sowie eine Jugendfreizeiteinrichtung. Im PLR liegt der wesentliche Teil des Fördergebiets Aktives Zentrum Lichtenrade Bahnhofstraße."
1,titel,,1.4 Nahariyastraße
1,titel-sm,,"Ausschnitt PLR 07070704. Quelle: BK10, GeoVerm BA-TS"
1,image,070707_Abb_05.png,
