LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und älter
07050501 (abs.),889,991,295,1206,7002,2007,2677,814
07050501 (%),5.6,6.2,1.9,7.6,44.1,12.6,16.9,5.1
07050502 (abs.),329,511,181,606,3305,982,1260,856
07050502 (%),4.1,6.4,2.3,7.5,41.2,12.2,15.7,10.7
07050503 (abs.),420,484,176,567,3757,1247,1790,682
07050503 (%),4.6,5.3,1.9,6.2,41.2,13.7,19.6,7.5
07050504 (abs.),280,392,171,438,2157,717,988,411
07050504 (%),5,7.1,3.1,7.9,38.8,12.9,17.8,7.4
07050505 (abs.),496,739,292,691,3708,1387,2132,1045
07050505 (%),4.7,7,2.8,6.6,35.3,13.2,20.3,10
07050506 (abs.),94,182,66,142,813,324,505,113
07050506 (%),4.2,8.1,2.9,6.3,36.3,14.5,22.6,5
070505  (abs.),2508,3299,1181,3650,20742,6664,9352,3921
070505 (%),4.9,6.4,2.3,7.1,40.4,13,18.2,7.6
07 (abs.),18109,24372,8232,25081,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16,4.8
