LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07050501,Kita der Ev. Kirchengem. Berlin-Mariendorf,Rathausstr. 28,12105 Berlin,Ev. Kirchengemeinde Berlin-Mariendorf,85
07050501,Kita Global Village,Ringstr. 28,12105 Berlin,Global Village UG (haftungsbeschränkt),110
07050501,Kita der Kath. Kirchengem. Maria Frieden,Kaiserstr. 27/29,12105 Berlin,Kath. Kirchengemeinde Maria Frieden,50
07050501,Kinderladen Marienkäfer,Prühßstr. 30,12105 Berlin,Kinderladen Marienkäfer gUG (haftungsbeschränkt),40
07050501,EKT - Kinderladeninitiative Tempelhof,Kurfürstenstr. 114,12105 Berlin,Kinderladeninitiative Tempelhof e.V.,18
07050501,Kita Rathausstr. 84 / Kitas Süd-West,Rathausstr. 8,12105 Berlin 4,Kindertagesstätten Berlin Süd-West,62
07050501,Kita Seelbuschring 19 / Kitas Süd-West,Seelbuschring 19,12105 Berlin,Kindertagesstätten Berlin Süd-West,93
07050501,Kita Lillebror,Machonstr. 54,12105 Berlin,Kita Lillebror UG (haftungsbeschränkt),55
07050501,Kindertagesstätte Schlösschen,Machonstr. 30,12105 Berlin,LifExperience gemeinnützige Gesellschaft für Bildung Erziehung und Betreuung mbH,25
07050502,BOOT-Kita Fritz-Werner,Fritz-Werner-Str. 43,12107 Berlin,Gemeinnützige BOOT GmbH,175
07050502,EKT Mücke,Großbeerenstr. 5,12107 Berlin,Mücke e.V.,17
07050503,Kinderladen Pimpanella,Didostr. 1,12109 Berlin,Kinderladen Pimpanella e.V.,16
07050503,Kita Am Volkspark/Kitas Süd-West,Mariendorfer Damm 115,12109 Berlin,Kindertagesstätten Berlin Süd-West,165
07050503,Kita Mariendorfer Damm 123 / Kitas Süd-West,Mariendorfer Damm 123,12109 Berlin,Kindertagesstätten Berlin Süd-West,186
07050504,Kita der Ev. Kirchengem. Mariendorf -Ost,Rixdorfer Str. 73,12109 Berlin,Ev. Kirchengemeinde Mariendorf-Ost,151
07050504,Kita Robinson Crusoe,Am Hellespont 2,12109 Berlin,Orte für Kinder GmbH,51
07050505,Kita Albulaweg 15/19 / Kitas Süd-West,Albulaweg015,12107 Berlin,Kindertagesstätten Berlin Süd-West,174
07050505,Klax Krippe Kieselstein und Klax Kindergarten Zauberstein,Ankogelweg 16,12109 Berlin,KLAX Berlin gGmbH,100
07050505,Kita Juniorplaneten,Alt-Mariendorf 25,12109 Berlin,Sprache verbindet e. V.,36
07050506,Kita der Ev. Kirchengem. Berlin Mariendorf-Süd,Grimmingweg 1B,12109 Berlin,Ev. Kirchengemeinde Berlin Mariendorf-Süd,69
07050506,Kita Grashüpferchen II,Mariendorfer Damm 334-336,12109 Berlin,Kita Grashüpferchen gemeinnützige GmbH,103
