LOR-ID,Name,Anschrift,PLZ / Ort,Art 1,Art 2,Art 3,Art 4,Art 5,Art 6
07050501,Sportanlage Markgrafenstraße,Markgrafenstr. 19-24,12105 Berlin,Halle (>=10x12 bis 15x27 m) ,Jugend- / Mehrzweckraum;,LAEA (Laufbahn / Springen) ,Großspielfeld ,Kleinspielfeld (>=5000m²) ,Gymnastikwiese
07050501,Carl-Sonnenschein-GS (ehem. H.-Köhl-Oberschule),Kurfürstenstr. 53-54 ,12105 Berlin,Halle (>=10x12 bis 15x27 m),,,,,
07050501,Ludwig-Heck-Grundschule,Königstr. 32 ,12105 Berlin,Halle (>=10x12 bis 15x27 m) (2x),LAEA (Laufbahn / Springen) ,Kleinspielfeld (<5000m²),,,
07050501,Eckener-Gymnasium,Kaiserstr. 17/21,12105 Berlin,Halle (>=15-27 bis 22x44 m),,,,,
07050501,Sportplatz Rathausstr.,Rathausstr. 10a ,12105 Berlin,Jugend-/Mehrzweckraum,Großspielfeld (2x),Kleinspielfeld (<5000m²),,,
07050501,Machonstr. (Ehem. Elisabeth-Rotten-Schule),Machonstr. 54,12105 Berlin,Halle (>=10x12 bis 15x27 m),LAEA (Laufbahn / Springen) ,Kleinspielfeld (<5000m²),,,
07050502,Rudolf-Hildebrand-Grundschule,Friedenstr. 23-25,12107 Berlin,Halle (>=10x12 bis 15x27 m) (2x),LAEA (Laufbahn / Springen) ,Kleinspielfeld (<5000m²) ,Gymnastikwiese,,
07050502,Sportplatz Körtingstr./Hirzerweg,Körtingstr. 41,12107 Berlin,Jugend-/Mehrzweckraum,Großspielfeld,,,,
07050502,Ikarus-Grundschule,Körtingstr. 45,12107 Berlin,Halle (>=15-27 bis 22x44 m) ,LAEA (Laufbahn / Springen) ,Kleinspielfeld (<5000m²),,,
07050503,Sportplatz am Volkspark Mariendorf,Prühßstr.90 ,12109 Berlin,Jugend-/Mehrzweckraum,Konditions- und Kraftraum ,400m-Rundlaufbahn,LAEA (Laufbahn) ,Großspielfeld (4x),
07050503,Sommerbad Mariendorf,Rixdorfer Str. 130,12109 Berlin,Sommerbad,,,,,
07050503,Schätzelberg-Grundschule,Wolfsburger Weg 13/19,12109 Berlin,Halle (>=10x12 bis 15x27 m),LAEA (Laufbahn / Springen) ,Kleinspielfeld (<5000m²),,,
07050503,Tennisanlage der BSG BA Tempelhof,Westphalweg 8,12109 Berlin,Tennisanlage (4x),Jugend-/Mehrzweckraum,,,,
07050504,Carl-Sonnenschein-Grundschule,Am Hellespont 4-6 ,12109 Berlin,Halle (>=10x12 bis 15x27 m),LAEA (Laufbahn / Springen / Kugelstoßen),Kleinspielfeld (<5000m²) (2x),Gymnastikwiese,,
07050505,Kombi. Bad Mariendorf,Ankogelweg 95,12107 Berlin,Sommerbad ,Hallenbad,,,,
