LOR-ID,Name,Fläche in m²,VAG
07050501,Ullsteinstraße. 160-164 - Grünzug,8132,wohnungsnah
07050501,Richterstr. - Grünzug u. Promenade,2122,wohnungsnah
07050501,Union (Promenade),582,wohnungsnah
07050501,Teltowkanal Südpromenade - Promenade,7221,wohnungsnah
07050501,Unter Uns (Promenade),1373,wohnungsnah
07050501,Einigkeit (Promenade),1578,wohnungsnah
07050501,Ma-Damm - Ullsteinstraße. - Grünzug,4376,wohnungsnah
07050501,Ringstr. Süd - Grünzug u. Promenade,6792,wohnungsnah
07050502,Gerdsmeyer (Promenade),5115,wohnungsnah
07050502,Hirzerweg - Promenade,5757,wohnungsnah
07050503,Wartburg (Promenade),2007,wohnungsnah
07050503,Ma-Damm - Monopolstraße - Grünzug,4656,wohnungsnah
07050503,Schätzelberge,39788,wohnungsnah
07050503,Volkspark Mariendorf – Klasse I - Gartendenkmal,10728,siedlungsnah
07050503,Birkenweg am Volkspark Mariendorf,7587,wohnungsnah
07050503,Volkspark Mariendorf - Gartendenkmal,93015,wohnungsnah
07050504,Am Hellespont - Grünanlage,10347,wohnungsnah
07050504,Türkenpfuhl (Promenade),6198,wohnungsnah
07050504,Britzer Str. 22-38 (Nord) LSG,21407,wohnungsnah
07050505,Britzer Str. 21-79 ehem. Spielplatz,1981,wohnungsnah
07050505,Britzer Str. 21-79 Grünanlage,110123,siedlungsnah
07050505,Britzer Garten (Teilstück),22422,wohnungsnah
07050505,Wimbachpromenade / Roetepfuhl,42034,siedlungsnah
07050505,Tauernallee / Ankogelweg - Promenade ,3539,wohnungsnah
07050505,Reißeckstr. – Grünzug,12005,wohnungsnah
07050505,Grünzug Reißeckstr. / Floningweg,16090,wohnungsnah
07050505,Tauernallee / Ankogelweg - Grünanlage,6563,wohnungsnah
07050505,Albulaweg,2196,wohnungsnah
