LOR-ID,Name,Straße,Anzahl der Parzellen,Fläche in m²,Landeseigentum
07050501,Einigkeit,Kurfürstenstraße 88-92,48,15864,Ja
07050501,Gaswerk,Teltowkanal / Bahnübergang,26,10699,Nein
07050501,Union,Kurfürstenstraße 84-86,43,14474,Ja
07050501,Unter Uns,Kurfürstenstraße 84-86,60,22174,Ja
07050501,Kaisergarten,Kaiserstraße 22-24 / Küterstraße,15,5063,Ja
07050501,Wild-West,Richterstraße 38,17,5467,Ja
07050501,Wild-West,Richterstraße 38,6,1848,Ja
07050501,Südring,Ringstraße 11-15,15,4042,Ja
07050502,Neuland,Fritz-Werner-Straße,51,16820,Nein
07050502,An der Rennbahn,Kruckenbergstr. / Hirzerweg 46-58,30,10500,Ja
07050502,An der Rennbahn,Kruckenbergstr. / Hirzerweg 46-58,71,24961,Ja
07050502,Gerdsmeyer,Körtingstraße / Hirzerweg,100,36395,Ja
07050502,Sandwüste,Dederingstr.18-24 / Greinerstr. 17,32,11270,Ja
07050503,Abendrot,Ullsteinstraße 1-51,219,91280,Ja
07050503,Feierabend,Rixdorfer Straße 42-48,120,48045,Ja
07050503,Fröhliche Eintracht,Ullsteinstraße 53-63,131,54087,Ja
07050503,Morgengrauen,Eisenacher-Str. 53-55 / Wolfsburger Weg,74,29097,Ja
07050503,Schätzelberge,Ullsteinstraße / Steinhellenweg,87,35867,Ja
07050503,Wartburg,Eisenacher Straße 32/33,27,9114,Ja
07050504,Alpental,Gradestraße 135-161,95,47231,Ja
07050504,Alpental,Gradestraße 135-161,85,42747,Ja
07050504,Marienglück,Rixdorfer Str. 41-49,173,72036,Nein
07050504,Türkenpfuhl,Straße 229 / Dardanellenweg,28,8123,Ja
07050504,Türkenpfuhl,Straße 229 / Dardanellenweg,21,7644,Ja
07050504,Kleeblatt,Rixdorfer Str. 41-49,130,58139,Ja
07050504,Kleeblatt,Rixdorfer Str. 41-49,64,27260,Ja
07050504,Neu-Helgoland,Britzer Straße 24-30,32,12767,Ja
07050505,Barnet,Grüntenstr. 26-28,10,3500,Ja
07050505,Charenton-le-pont,Britzer Straße Nr.17-23,16,5584,Ja
07050505,Wildspitz,Wildspitzweg 17a,26,10408,Nein
07050506,Hossauer Weg,"KGA Säntisstr., Fleschweg",57,23046,Nein
