LOR-ID,Name,Bemerkung,Widmung
07050501,Riegerzeile,Beach-Volley,-
07050501,Richterstr. - Spielplatz,Ayers Rock - Beach-Volley etc.,gewidmet
07050501,Ma-Damm – Ullsteinstr. - Spielplatz,"Die Baustelle, Bolzplatz",gewidmet
07050501,Ringstr. 27,Versunkene Goldgräberstadt,gewidmet
07050501,Machonstr. 33-35,-,gewidmet
07050501,Spielplatz Ringstr. 18-23,"Streetball, BMX",gewidmet
07050501,Teltowkanal Südpromenade ,Ullsteinstr. neben 194 (Kehre) ,gewidmet
07050502,Hirzerweg - Spielplatz,Körtingstr. neben Nr. 14 Bolzplatz etc.,gewidmet
07050503,Volkspark Mariendorf ,BMX-Hang am ehem. Rodelhang,gewidmet
07050503,Volkspark Mariendorf ,nördl. Blümelteich – Fest-/Spielwiese,gewidmet
07050503,Volkspark Mariendorf ,"Prühßstraße - Nessi-Burg, BMX",gewidmet
07050503,Volkspark Mariendorf ,Rixdorfer Str. 15,gewidmet
07050503,Volkspark Mariendorf ,Planetensystem,gewidmet
07050503,Schätzelberge - Spielplatz Steinhellenweg,Steinhellenweg 25,gewidmet
07050504,Am Hellespont - Spielplatz,Bolzplatz etc.,gewidmet
07050505,Wimbachpromenade - Spielplatz,"Floningstr. , Bolzplatz etc.",gewidmet
07050505,Tauernallee / Ankogelweg - Spielplatz,"Tauernallee 30, Wilder Westen",gewidmet
07050506,Buchsteinweg / Säntisstr. 10,-,gewidmet
