ref,type,datasource,content
1,titel,,BZRP Marienfelde (070606)
1,titel-sm,,Impressum
1,text,,"Herausgegeben durch Bezirksamt Tempelhof-Schöneberg von Berlin, Organisationseinheit Sozialraumorientierte Planungskoordination (OE SPK).<br>Koordination: Ulrich Binner (Datenkoordination, SPK DK). Bearbeitungsstand: beschlossen durch AG SRO am 16.11.2017, beschlossen durch Bezirksamt Tempelhof-Schöneberg am 06.02.2018.<br>Datenstand: KID & DGZ 12/2015, ergänzende Daten wie angegeben."
1,titel,,Kurzporträit der Bezirksregion
1,titel-sm,,"Nachbearbeiteter Ausschnitt Digitale Orthophotos 2017, BZR 070505 mit PLR Grenzen. Quelle:<br>Geoportal Berlin "
1,image,070505_Abb_01.png,
1,text,,"Die Bezirksregion (BZR) Mariendorf ist zuschnittsgleich mit dem Ortsteil Mariendorf. Sie beginnt unterhalb des Teltowkanals bzw. östlich des Mariendorfer Damms an der Ullsteinstraße und reicht bis zur Untertürkheimer Straße, Daimlerstraße. Westlich beginnt die BZR an der Bezirksgrenze zu Steglitz-Zehlendorf entlang der Dresdner Bahn und reicht östlich bis zur Bezirksgrenze Neukölln. Die Siedlungsstruktur der BZR ist hauptsächlich durch den Siedlungsbau der 50er Jahre geprägt, die Nebenprägung ist die verdichtete Blockrandbebauung. Die BZR umfasst eine Fläche von 934 Hektar. "
1,text,,"Die Bezirksregion Mariendorf (LOR-Nummer 070505) gliedert sich in die sechs Planungs-räume (PLR):<br>- Rathausstraße (07050501), <br>- Fritz-Werner-Straße (07050502), <br>- Eisenacher Straße (07050503), <br>- Imbrosweg (07050504), <br>- Hundsteinweg (07050505) und <br>- Birnhornweg (07050506)."
1,text,,"Zum Ende 2015 waren in der BZR Mariendorf rund 51.000 Personen melderechtlich registriert. In den vergangenen fünf Jahren ist die Zahl der Einwohnenden in der BZR um 3,4% gestiegen. Der Anteil der Ausländer_innen ist in Mariendorf mit rund 6% deutlich unter dem bezirklichen Durchschnitt. Die Altersstruktur weist Anteile an unter 18-Jährigen und über 65-Jährigen auf, die über den gesamtbezirklichen Vergleichswerten liegen. Mehr als jede vierte Person in Mariendorf ist bereits 65 Jahre oder älter. Der Altersdurchschnitt lag in der BZR bei 46,6 Jahren.<br>Mariendorf ist heute vorwiegend geprägt durch kleinteilige Bebauung mit Einzel-/Doppel- und Reihenhäusern, die vor allem im Süden das Bild bestimmen, während sonst Zeilenbauten der 50er Jahre überwiegen. Im Umfeld des Gaswerkstandortes (GASAG-Gelände) gibt es ein großes Industrie- und Gewerbegebiet zwischen Dresdener Bahn und der Ring- bzw. Großbeerenstraße, das sich in einer Umstrukturierungsphase befindet. Die 1913 eröffnete Anlage des Trabrennvereins Mariendorf e.V., eine der drei Berliner Pferderennbahnen (neben Karlshorst und Hoppegarten) umfasst nach mehreren Umbauten und Modernisierungen heute ein Areal von 24 Hektar. Der Volkspark Mariendorf ist neben dem Freizeitpark Marienfelde und dem ehemaligen Buga-Gelände (Neukölln) die größte Erholungsfläche im mittleren Süden Berlins. Mariendorf wird aufgrund seiner noch zahlreich vorhandenen Kleingartenkolonien, des Volksparks und des „Parks der Pfuhle“, eines Grünzuges, der den Volkspark mit dem Buga-Gelände verbindet, als „grüne Region“ wahrgenommen. Rund um die U-Bahnhöfe Alt-Mariendorf und Westphalweg liegt konzentrierter Einzelhandel vor, in diesem Gebiet befinden sich ebenso Lokale und Gastwirtschaften sowie Ansiedlungen von Ärzt_innen und anderen medizinischen Angeboten. In der BZR Mariendorf liegen mehrere langfristig entwickelbare Wohnungsbaupotentiale, so wie das mittelfristig zu bebauende Gebiet an der Britzer Straße, sowie einige Nachverdichtungspotentiale.<br>"
1,titel-sm,,"Überblick BZR 070505, Stand: 31.12.2015. Quelle: AfS, eigene Zusammenstellung"
