LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und älter
07060601 (abs.),580,860,314,779,3885,1162,1786,568
07060601 (%),5.8,8.7,3.2,7.8,39.1,11.7,18,5.7
07060602 (abs.),211,379,126,298,1775,681,938,234
07060602 (%),4.5,8.2,2.7,6.4,38.2,14.7,20.2,5
07060603 (abs.),155,236,73,177,904,383,720,165
07060603 (%),5.5,8.4,2.6,6.3,32.1,13.6,25.6,5.9
07060604 (abs.),801,1039,356,989,5230,1794,3107,930
07060604 (%),5.6,7.3,2.5,6.9,36.7,12.6,21.8,6.5
070606  (abs.),1747,2514,869,2243,11794,4020,6551,1897
070606 (%),5.5,7.9,2.7,7.1,37.3,12.7,20.7,6
07 (abs.),18109,24372,8232,25081,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16,4.8
