LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07060601,EKT Spatzennest,Friedenfelser Str. 13,12279 Berlin,Elterninitiative Kindertagesstätte Spatzennest e. V.,39
07060601,Kita der Kath. Kirchengemeinde Vom Guten Hirten,Emilienstr. 9,12277 Berlin,Kath. Kirchengemeinde St. Alfons,65
07060601,Kita der Kath. Kirchengem. Vom Guten Hirten,Tennstedter Str. 2F,12249 Berlin,Kath. Kirchengemeinde Vom Guten Hirten,130
07060601,Kita Stegerwald,Stegerwaldstr. 50,12277 Berlin,Nachbarschaftsheim Schöneberg e.V.,95
07060601,Kita Kinder in Marienfelde,Friedenfelser Str. 11,12279 Berlin,One World Kinder gGmbH,75
07060601,Kita Kleckerbande,Bruno-Möhring-Str. 7-9,12277 Berlin,PeWoBe Gemeinnützige Soziale Betreuungsgesellschaft mbH,137
07060602,Kita Domagkstr. 4 / Kitas Süd-West,Domagkstr. 4,12277 Berlin,Kindertagesstätten Berlin Süd-West,110
07060602,Kita Krümel-Club,An der Dorfkirche 5,12277 Berlin,Krümel-Club gGmbH,38
07060602,Ev. Dreikönigs-Kita,Kirchstr. 31,12277 Berlin,Leben mit Kindern gGmbH,65
07060603,Kita Sternchen Werk Berlin,Titlisweg 60,12107 Berlin,PME Familienservice gGmbH - Zweigniederlassung Berlin,60
07060604,EKT Marienfelde,Waldsassener Str. 50,12279 Berlin,Elterninitiativ - Kindertagesstätte Marienfelde e. V.,26
07060604,EKT Jungadler,Tirschenreuther Ring 69,12279 Berlin,Jungadler e.V.,28
07060604,Kinderwelt,Ahrensdorfer Str. 31,12279 Berlin,Kinderwelt e. V. Berlin,43
07060604,Kita Grashüpferchen III,Hildburghauser Str. 73,12279 Berlin,Kita Grashüpferchen gemeinnützige GmbH,80
07060604,Kita Kinder Wunderland,Marienfelder Allee 203A,12279 Berlin,Kita Kinder Wunderland gemeinnützige UG (haftungsbeschränkt),70
07060604,Kita im Familienzentrum,Waldsassener Str. 9,12279 Berlin,Leben mit Kindern gGmbH,105
07060604,Kita Vier Jahreszeiten des NUSZ,Luckeweg 15,12279 Berlin,Nachbarschafts- u. Selbsthilfezentrum in der UFA-Fabrik e.V.,206
,,12279 Berlin,,,
