LOR-ID,Name,Fläche in m²,VAG
07060601,Maximilian-Kaller-Str. - Grünzug,12650,wohnortnah
07060602,Alt-Marienfelde Dorfaue - Grünanlage,1034,wohnortnah
07060602,Wehnertstr. ggü 36,919,wohnortnah
07060602,Hüfnergärten (Grünanlage / Promenade),12204,wohnortnah
07060602,Heilandsweide - Promenade u. Grünzug,34957,wohnortnah
07060602,Gutspark Marienfelde - Klasse III,52050,wohnortnah
07060604,Reinstedter Weg,103,wohnortnah
07060604,Birkholz – Grünanlage,10720,siedlungsnah
07060604,Poppenreuther Weg - Grünpromenade,3015,wohnortnah
07060604,Güteraußenring Marienfelde*,34775,siedlungsnah
07060604,Freseteich – Grünanlage,20124,siedlungsnah
07060604,Amstelveen – Grünanlage,9248,wohnortnah
07060604,Rainfarnweg,6429,wohnortnah
07060604,Königsgraben,60702,siedlungsnah
07060604,Hampelsche Baumschule - Grünanlage,29439,wohnortnah
07060604,FZP Marienfelde – Grünanlage,383051,siedlungsnah
07060604,FZP Marienfelde – BMX,5250,wohnortnah
07060604,Eschwege (Promenade),2384,wohnortnah
07060604,FZP Marienfelde – Spielwiese,12080,wohnortnah
07060604,Schichauweg (Grünanlage),5968,wohnortnah
07060604,Nahmitzer Damm 20/26 - Obstwiese,12172,wohnortnah
07060604,Schlehenberg,15829,wohnortnah
07060604,Radarberg Diedersdorfer Weg,47172,wohnortnah
