LOR-ID,Name,Straße,Anzahl der Parzellen,Fläche in m²,Landeseigentum
07060602,Erholung,Wehnertstraße 34,5,2288,Ja
07060602,Hüfnergärten,"Nahmitzer Damm 3,5,7",31,8084,Ja
07060602,Albanstraße,"Albanstr. 1,5-7,25,27,29",27,10650,Nein
07060603,Säntisstraße,Säntisstraße,248,89753,Nein
07060604,Am Freizeitpark,Diedersdorfer Weg (östl.),16,3787,Ja
07060604,Amstelveen,Marienfelder Allee 223,36,13219,Ja
07060604,Birkholz,Diedersdorfer Weg,138,46355,Ja
07060604,Diedersdorfer Weg,Diedersdorfer Weg,80,30015,Ja
07060604,Eschwege,Marienfelder Allee 250,51,17308,Ja
07060604,Marienfelder Scholle,Marienfelder Allee,64,29122,Ja
