LOR-ID,Name,Bemerkung,Widmung
07060601,Stegerwaldstr. 52,-,Gewidmet
07060601,Maximilian-Kaller-Str. - Spielplatz,"Grünzug in Richtung Tambacher Str., Bolzplatz",Gewidmet
07060601,Hildburghauser Str.,"neben Nr. 19, Bolzplatz etc.",Gewidmet
07060602,Gutspark Marienfelde - Spielplatz,Burgruine,Gewidmet
07060602,Heilandsweide - Spielplatz,Einzelflächen,Gewidmet
07060602,Gutspark Marienfelde - Spielwiese,Mittlere Wiese,Gewidmet
07060602,Domagkstraße 4a (Spielplatz),-,Gewidmet
07060602,Heilandsweide - Bolzplatz,Bolzplatz,Gewidmet
07060603,Hollabergweg 69,-,Gewidmet
07060604,FZP Marienfelde - Bolzplätze,"Bolzplatz, Inline-Hockey, Streetball,",Gewidmet
07060604,Hampelsche Baumschule - Spielplatz I,Waldsassener Str. 11,Gewidmet
07060604,Poppenreuther Weg - Spielplatz,Ahrensdorfer Str.-Tirschenreuther Ring,Gewidmet
07060604,FZP Marienfelde - Skateboard,Skateboard,Gewidmet
07060604,Amstelveen - Spielplatz,Marienfelder Allee 223,Gewidmet
07060604,Hampelsche Baumschule - Spielpl. II,Tirschenreuther Ring - Bolzplatz,Gewidmet
