Stärken,Schwächen
prägnanter Gewerbestandort,Sehr wenige Schulen (bisher ist dies noch kein Problem)
bestbesuchte Seniorenfreizeitstätte des Bezirks an Marienfelder Chaussee,Situation mit Geflüchteten
man ist schnell im Grünen (Brandenburg) - Lagegunst,Armutsanteil
Gustav-Heinemann-Schule eine der beliebtesten im Bezirk,Ortsteil als „Auffanglager“ von Bewohner_innen aus der Innenstadt
,Image und Situation Wohnstandort bleibt hinter guter Situation für Gewerbe zurück
,Kindergesundheit
,Hoher Anteil Wohnungen mit einfacher Ausstattung
,Nur kleines städtebauliches Highlight rund um die Dorfaue
,Schwierige städtebauliche Gemengelage
,Verkehrliche Anbindung
,Stadtrandlage
