LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und älter
07010101 (abs.),421,498,178,573,4377,1462,1622,558
07010101 (%),4.3,5.1,1.8,5.9,45.2,15.1,16.7,5.8
07010102 (abs.),743,1097,390,1420,7681,2066,1923,497
07010102 (%),4.7,6.9,2.5,9,48.6,13.1,12.2,3.1
07010103 (abs.),498,731,198,700,4960,1421,1245,327
07010103 (%),4.9,7.3,2,6.9,49.2,14.1,12.4,3.2
07010104 (abs.),804,1018,331,1133,7192,1563,1340,268
07010104 (%),5.9,7.5,2.4,8.3,52.7,11.5,9.8,2
070101  (abs.),2466,3344,1097,3826,24210,6512,6130,1650
070101 (%),5,6.8,2.2,7.8,49.2,13.2,12.5,3.4
07 (abs.),18109,24372,8232,25081,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16,4.8
