LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07010101,EKT - Abrakadabra,Motzstr. 63,10777 Berlin,Abrakadabra e.V.,14
07010101,EKT L' Angolino,Ansbacher Str. 41,10777 Berlin,EKT L'angolino e.V.,30
07010101,Kindertagesstätte Viktoria-Luise-Platz,Viktoria-Luise-Platz 1,10777 Berlin,Ev. Kirchengemeinde Zum Heilsbronnen,54
07010101,BOOT-Kita Augsburg,Augsburger Str. 12,10789 Berlin,Gemeinnützige BOOT GmbH,160
07010101,Kinderladen Zauberhaus,Geisbergstr. 28,10777 Berlin,Kinderladen Zauberhaus UG (haftungsbeschränkt),25
07010101,Kita Fuggerstaße,Fuggerstr. 37,10777 Berlin,KITA Fuggerstraße e.V.,40
07010101,EKT - Knuddelmuddel,Ansbacher Str. 63,10777 Berlin,Knuddelmuddel e.V.,19
07010101,Kita Dachsbau,Münchener Str. 3,10777 Berlin,TÄKS e. V.,17
07010102,Kita Haus der Kinder,Kurmärkische Str.2-8,10783 Berlin,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,104
07010102,Kita der Kath. Kirchengem. St. Matthias,Hohenstaufenstr. 3,10781 Berlin,Kath. Kirchengemeinde St. Matthias,80
07010102,Kinder- und Schülerladen Manno,Hohenstaufenstr. 10A,10781 Berlin,Kinder- und Schülerladen Manno e.V.,35
07010102,Kita Motzstr. 33 / Kitas Süd-West,Motzstr. 33,10777 Berlin,Kindertagesstätten Berlin Süd-West,152
07010102,Kita MITRA,Kurfürstenstr. 135,10785 Berlin,MITRA bilinguale Kindergärten gemeinnützige GmbH,82
07010102,Kita Pallasseum,Pallasstr. 3,10783 Berlin,Stadtteilverein Schöneberg e.V.,23
07010102,Kita im Palasseum,Potsdamer Str. 170B,10783 Berlin,Stadtteilverein Schöneberg e.V.,45
07010103,EKT Konfetti,Gleditschstr. 40,10781 Berlin,Eltern-Initiativ-Kindertagesstätte Konfetti e. V.,15
07010103,EKT Feuerkäfer,Frankenstr. 15,10781 Berlin,Feuerkäfer e.V. - Verein zur Förderung frühkindlicher Sozialisation,16
07010103,EKT - Frechdachs,Rosenheimer Str. 28,10781 Berlin,FRECHDACHS e.V.,16
07010103,Kita Frankenstraße,Frankenstr. 8,10781 Berlin,INA.KINDER.GARTEN gGmbH,148
07010103,Kita am Kleistpark,Elßholzstr. 29-25,10781 Berlin,Nachbarschaftsheim Schöneberg e.V.,130
07010103,Kita Karl-Schrader-Straße,Karl-Schrader-Str. 9,10781 Berlin,Nachbarschaftsheim Schöneberg e.V.,75
07010103,Kita Barbarossastraße des Pestalozzi-Fröbel-Hauses,Barbarossastr. 64,10781 Berlin,PFH Stiftung des öffentlichen Rechts,70
07010103,Wunderkids Schöneberg,Frankenstr. 12,10781 Berlin,W und W Wunderkids gGmbH,56
07010104,EKT - Bülowstr.,Bülowstr. 52,10783 Berlin,Eltern-Initiativ-Kindertagesstätte Bülowstrasse e.V.,15
07010104,EKT - Murkel,Mansteinstr. 6,10783 Berlin,Elterninitiativ-Kindertagesstätte Murkel e. V.,15
07010104,Kita der Ev. Kirchengem. Silas,Großgörschenstr. 10,10827 Berlin,Evangelische Königin-Luise-und Silas Kirchengemeinde,43
07010104,Kita Hochkirchstraße,Hochkirchstr. 15-18,10829 Berlin,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,95
07010104,Kita Neue Steinmetzstraße,Neue Steinmetzstr. 1,10827 Berlin,INA.KINDER.GARTEN gGmbH,75
07010104,Kita Bülowstraße,Bülowstr. 35,10783 Berlin,INA.KINDER.GARTEN gGmbH,133
07010104,Kita Goebenstraße 8,Goebenstr. 8,10783 Berlin,Stadtteilverein Schöneberg e.V.,15
