LOR-ID,Name,Anschrift,PLZ / Ort,Anmerkung
07010101,Ruhesitz am Zoo,Kurfürstenstraße 101-104,10787 Berlin,Pflegeeinrichtung
07010101,Ehemaliges Hotel President ,An der Urania 16-18,10787 Berlin,Erstaufnahmeeinrichtung für Geflüchtete – Albatros gGmbH NU
07010101,Tertianum Residenz Berlin,Passauer Straße 5-7,10789 Berlin,Pflegeeinrichtung
07010101,Fugger-Klinik Senioren- Residenz,Fuggerstr. 29 ,12159 Berlin,Stationäre Pflegeeinrichtung
07010102,Seniorenwohnhaus Kardinal von Galen,Goltzstraße 26,10781 Berlin,Caritas Wohnhaus für Senior_innen
07010102,Ruhesitz am Tiergarten,Zietenstr. 4 ,10783 Berlin,Stationäre Pflegeeinrichtung
07010102,Seniorenwohnhaus der Gewobag,Bülowstr. 94,10783 Berlin,Seniorenwohnhaus
07010102,Seniorenwohnhaus der Gewobag,Frobenstr. 4 ,10783 Berlin,Seniorenwohnhaus
07010102,Seniorenwohnhaus der Gewobag,Winterfeldstr. 70 ,10781 Berlin,Seniorenwohnhaus
07010102,Seniorenwohnhaus Winterfeldstraße,Winterfeldstr. 30 ,10781 Berlin,Seniorenwohnhaus des Bezirks
07010102,Pflegestützpunkt der AOK,Pallasstr. 25 ,10781 Berlin ,Beratungsangebot für den gesamten Bezirk
07010102,FAW Verein zur Förderung altersgerechten Wohnens,Bülowstr. 71-72 ,10783 Berlin,Beratungsstelle für den gesamten Bezirk
07010102,GZD – Geistliches Zentrum für Menschen mit Demenz und deren Angehörige,Bülowstr. 71-72,10783 Berlin,Beratungsstelle für den gesamten Bezirk
07010102,Mann-O-Meter,Bülowstr. 106 ,10783 Berlin,Beratungs- und Informationszentrum für schwule und bisexuelle Menschen
07010104,Pension für Wohnungslose,Willmanndamm 5,10827 Berlin,Pensionsbetrieb für Wohnungslose (BUL-Einrichtung)
07010104,Wohnheim für Wohnungslose,Steinmetzstr. 3,10827 Berlin,Pensionsbetrieb (3) BUL
070101,Gerontopsychiatrischer Verbund ,John-F.-Kennedy-Platz,10820 Berlin,AG Schöneberg Nord
07020202,Regionaler Sozialdienst des Jugendamtes,John-F.-Kennedy-Platz,10820 Berlin,"Zuständig für Schöneberg Nord, Schöneberg Süd und Friedenau"
