LOR-ID,Name,Bemerkung,Widmung
07010101,Viktoria-Luise-Platz - Spielplatz,,gewidmet
07010101,Fuggerstr. 31,,gewidmet
07010101,Motzstr. 51,,gewidmet
07010101,Motzstr. 46,Geisbergstr. 43,gewidmet
07010102,Frobenstr. 12-19 - Spielplatz,Bolzplatz etc.,gewidmet
07010102,Hohenstaufenstr. 6,,gewidmet
07010102,Maienstr. 1,,gewidmet
07010102,Gleditschstr. 11-13 - Spielplatz,,gewidmet
07010102,Eisenacher Str. 4-5,"Fuggerstr. 1, Bolzplatz etc.",gewidmet
07010102,Frobenstr. 28-29,,gewidmet
07010102,Eisenacher Str. 120,Hinterhof,gewidmet
07010102,Else-Lasker-Schüler-Str. 8,Bolzplatz etc.,gewidmet
07010102,Pallasstr. 7 - Spielplatz,Pallaspark,gewidmet
07010103,Barbarossastr. 66,Goltzstr. 41,gewidmet
07010103,Alice-Salomon-Park - Spielplatz,"Schwäbische Str. 10, Bolzplatz etc.",gewidmet
07010103,Eisenacher Str. 94-95 - Spielstraße,"Frankenstr. 10, Streetball etc.",gewidmet
07010103,Heinrich-v.-Kleist-Park - Spielplatz Süd,Potsdamer Str. 186,gewidmet
07010103,Heinrich-v.-Kleist-Park - Spielplatz Nord,"Potsdamer Str., Skate- + Bolzplatz etc.",gewidmet
07010103,Heinrich-v.-Kleist-Park - Spielwiese,Mittelinsel,gewidmet
07010103,Starnberger Str. 1 - Spielplatz,,gewidmet
07010103,Eisenacher Str. 94-95 - Spielplatz,Frankenstr. 10,gewidmet
07010104,Nelly-Sachs-Park - Spielplatz,Dennewitzstr.,gewidmet
07010104,Katzlerstr. 1 / Yorckstr. 50 - Spielplatz,Bolzplatz u. Streetball,gewidmet
07010104,Dennewitzstr. 25-26 - Bolzplatz,,gewidmet
07010104,Neue Steinmetzstr. - Spielstr.,,gewidmet
07010104,Großgörschenstr. 29,"östlich S-Bahn, Bolzplatz etc.",gewidmet
07010104,Neue Steinmetzstr. 5,,gewidmet
07010104,Bülowstr. 69 - Spielplatz,Skateanlage,gewidmet
07010104,Mansteinstr. 11,Streetball etc.,gewidmet
07010104,Katzlerstr. 12,Großgörschenstr. 22-24,gewidmet
