LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und älter
07020201 (abs.),451,651,236,690,4753,1435,1741,478
07020201 (%),4.3,6.2,2.3,6.6,45.5,13.8,16.7,4.6
07020202 (abs.),588,593,168,787,5174,1216,1269,327
07020202 (%),5.8,5.9,1.7,7.8,51.1,12,12.5,3.2
07020203 (abs.),1037,1223,401,1446,9081,2266,1761,444
07020203 (%),5.9,6.9,2.3,8.2,51.4,12.8,10,2.5
07020204 (abs.),728,726,203,884,6799,1295,964,152
07020204 (%),6.2,6.2,1.7,7.5,57.9,11,8.2,1.3
070202  (abs.),2804,3193,1008,3807,25807,6212,5735,1401
070202 (%),5.6,6.4,2,7.6,51.6,12.4,11.5,2.8
07 (abs.),18109,24372,8232,25081,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16,4.8
