LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07020201,EKT - Amtomokarasachmo,Salzburger Str. 7,10825 Berlin,EKT Amtomokarasachmo e. V.,17
07020201,Kita Rosenheimer Straße,Rosenheimer Str. 20B,10779 Berlin,INA.KINDER.GARTEN gGmbH,85
07020202,EKT - Amsel,Ebersstr. 40,10827 Berlin,"Arbeiten mit Schülern, Eltern + Lehrern A.M.S.E.L. e.V.",18
07020202,EKT Onnimanni,Kärntener Str. 11,10827 Berlin,EKT Onnimanni e. V.,24
07020202,Europa-Kindergarten Max und Moritz,Kärntener Str. 27,10827 Berlin,Europa-Kindergarten Max und Moritz gGmbH,88
07020202,Kita am Park,Freiherr-vom-Stein-Str. 15,10827 Berlin,Nachbarschaftsheim Schöneberg e.V.,198
07020202,Kita Freiherr-vom-Stein-Straße,Freiherr-vom-Stein-Str. 13,10827 Berlin,Nachbarschaftsheim Schöneberg e.V.,84
07020202,Kita Ebersstraße,Ebersstr. 68,10827 Berlin,Nachbarschaftsheim Schöneberg e.V.,17
07020202,Kita an der HWR Berlin,Badensche Str. 50,10825 Berlin,Studentenwerk Berlin,45
07020202,Kita Wilde 13,Fritz-Reuter-Str. 8,10827 Berlin,TÄKS e. V.,35
07020203,EKT Affentheater,Merseburger Str. 5,10823 Berlin,Affentheater e.V.,15
07020203,Ei-Kita Humpty Dumpty,Wartburgstr. 6,10823 Berlin,Ei-Kita Humpty Dumpty e.V.,24
07020203,EKT Zappzarapp,Ebersstr. 12,10827 Berlin,EIKITA ZAPPZARAPP e.V.,15
07020203,EKT - Rübezahl,Feurigstr. 53,10827 Berlin,Elterninitiativkindergarten "Rübezahl" e. V.,16
07020203,EKT Kleine Ungeheuer,Vorbergstr. 2,10823 Berlin,EKT "Kleine Ungeheuer" e.V.,16
07020203,Kita der Ev. Kirchengem. Apostel-Paulus,Klixstr. 2,10823 Berlin,Ev. Kirchengemeinde Apostel-Paulus,34
07020203,EKT Nusskasper,Merseburger Str. 4,10823 Berlin,Gruppe-Nuß-Kasper e. V.,13
07020203,Kita der Kath. Kirchengem. St. Norbert,Dominicusstraße. 19A,10823 Berlin,Kath. Kirchengemeinde St. Norbert,45
07020203,Kinderladen Elefanten,Ebersstr. 12A,10827 Berlin,Kinderladen Elefanten e.V.,18
07020203,Kita am Lassenpark / Kitas Süd-West,Hauptstr. 43,10827 Berlin,Kindertagesstätten Berlin Süd-West,60
07020203,Kita Ebersstr. 19 / Kitas Süd-West,Ebersstr. 19,10827 Berlin,Kindertagesstätten Berlin Süd-West,119
07020203,Kita Crellestr. 16/17 / Kitas Süd-West,Crellestr. 16B,10827 Berlin,Kindertagesstätten Berlin Süd-West,132
07020203,Ev. Kindertagesstätte Alt-Schöneberg,Dominicusstraße. 21A,10823 Berlin,Leben mit Kindern gGmbH,70
07020203,Sternenkita des NUSZ,Apostel-Paulus-Str. 33,10823 Berlin,NUSZ in der UFA-Fabrik e.V.,15
07020203,Kita Vorbergstraße,Vorbergstr. 15,10823 Berlin,Nachbarschaftsheim Schöneberg e.V.,153
07020203,Kita Belziger Straße des Pestalozzi-Fröbel-Hauses,Belziger Str. 14,10823 Berlin,Pestalozzi-Fröbel-Haus Stiftung des öffentlichen Rechts,104
07020203,Kindergarten Purzelbaum,Eisenacher Str. 81,10823 Berlin,planned child gemeinnützige UG ,60
07020203,Kita Rosen,Albertstr. 14-18,10827 Berlin,Selbsthilfeprojekt für Frauen e.V. - Hanimlar Yardimlasma Dernegi,38
07020203,Kinderladen Stadtmäuse,Ebersstr. 18,10827 Berlin,Stadtmäuse e. V.,22
07020203,Trolle Schöneberg,Apostel-Paulus-Str. 35,10823 Berlin,Trolle Schöneberg e.V.,17
07020204,EKT - Brei nach Neun,Leuthener Str. 8,10829 Berlin,Brei nach Neun e. V.,18
07020204,EKT - Die Meckerbeine,Cheruskerstr. 17,10829 Berlin,die Meckerbeine e.V.,13
