LOR-ID,Name,Anschrift,PLZ / Ort,Anmerkung
07020202,Regionaler Sozialdienst des Jugendamtes,John-F.-Kennedy-Platz,10820 Berlin,"Zuständig für Schöneberg Nord, Schöneberg Süd und Friedenau"
07020202,Wohnheim für Wohnungslose,Fritz-Reuter-Straße 10,10827 Berlin,Pensionsbetrieb für Wohnungslose (BUL)
07020202,Wohnheim für Wohnungslose,Wexstr. 8,10825 Berlin,Pensionsbetrieb für Wohnungslose (BUL)
07020202,Wohnungslosentagesstätte - WoTa,Gustav-Freytag-Str. 1,10827 Berlin,Tagesstätte für wohnungslose Menschen (Betreiber UHW)
07020203,Wohnheim für Wohnungslose,Feurigstraße 66,10827 Berlin,Pensionsbetrieb für Wohnungslose (BUL)
07020203,Wohnheim für Wohnungslose Frauen,Czeminskistraße 8,10829 Berlin,bilaterales Wohnprojekt für wohnungslose Frauen – KommRum e.V. (BA u. BUL)
07020203,Katharinenhof,Belziger Str. 53C,10823 Berlin,Seniorenresidenz
07020203,Seniorenzentrum Schöneberg Immanuel Diakonie,Hauptstraße 121,10827 Berlin,Stationäre Pflege und Senioren-Wohnen
07020203,Caritas Seniorenheim St. Joseph,Dominicusstraße. 13 A,10823 Berlin,Stationäre Pflege
07020204,Konsultationsstelle Regenbogenfamilien,Cheruskerstraße 22,10829 Berlin,Bildungs- und Sozialwerk des Lesben- und Schwulenverbandes Berlin-Brandenburg (BLSB) e.V.
07020204,Tagespflege auf der Schöneberger Insel,Cheruskerstraße 28,10829 Berlin,Tagespflege
07020204,AWG "Wohnen an den drei Pappeln" Standort Schöneberg,Kolonnenstraße 26,10829 Berlin,Einrichtung der Eingliederungshilfe
070202,Gerontopsychiatrischer Verbund Schöneberg,,,AG Schöneberg Süd
