LOR-ID,Name,Anschrift,PLZ / Ort,Art 1,Art 2,Art 3,Art 4,Art 5,Art 6
07020201,Georg-von-Giesche-Schule,Hohenstaufenstr. 47-48 ,10779 Berlin,Halle >=10x12m bis <15x27m (2x),Halle >= 22x44 m bis <27x45m,,,,
07020201,Scharmützelsee-Grundschule,Hohenstaufenstraße 49 ,10779 Berlin,Kleinspielfeld >=5000m² (3x),LAEA (Kugelstoßen / Laufbahn/ Springen),,,,
07020201,SpH Löcknitz-Grundschule,Berchtesgadener Str. 10-11 ,10779 Berlin,Halle >=10x12m bis <15x27m,,,,,
07020201,Sportflächen der Löcknitz-Grundschule,Berchtesgadener Str. 10-11 ,10779 Berlin,Gymnastikwiese,Kleinspielfeld<5000m²,LAEA (Laufbahn / Springen),,,
07020202,SpH Rückert-Gymnasium,Mettestraße 8 ,10825 Berlin,Halle >=10x12m bis <15x27m (2x),Konditions- und Kraftraum,,,,
07020202,Sportflächen des Rückert-Gymnasiums,Mettestraße 8 ,10825 Berlin,Kleinspielfeld <5000m² (2x),LAEA (Kugelstoßen / Laufbahn / Springen),,,,
07020203,Ehem. Sporthalle der Friedrich-List-Schule,Belziger Straße 43-51,10823 Berlin,Halle >=10x12m bis <15x27m (2x),,,,,
07020203,Sporthalle Gustav-Langenscheidt-Schule,Belziger Str. 43-51 ,10823 Berlin,Halle >=10x12m bis <15x27m (2x),Konditions- und Kraftraum,,,,
07020203,Sportfläche der Gustav-Langenscheidt-Schule,Belziger Str. 43-51 ,10823 Berlin,Kleinspielfeld <5000m²,LAEA (Springen / Kugelstoßen),,,,
07020203,Stadtbad Schöneberg,Hauptstraße 38/39 ,10827 Berlin,Hallenbad,,,,,
07020203,SpH Teltow-Grundschule,Feurigstraße 27 ,10827 Berlin,Halle >=10x12m bis <15x27m (2x),,,,,
07020203,Sportflächen der Teltow-Grundschule,Feurigstraße 27 ,10827 Berlin,LAEA (Laufbahn / Springen),Sonstige Kernsportanlagen,,,,
07020204,Sporthalle Monumentenstr.,Monumentenstraße 13a,10829 Berlin,Halle <=15x27m bis <22x44m,,,,,
07020204,SpA Monumentenstraße,Monumentenstraße 14 10829 Berlin,,Halle >=10x12m bis <15x27m,Jugend- und Mehrzweckraum,Großspielfeld (2x),Kleinspielfeld <5000m²,LAEA (Kugelstoßen / Laufbahn / Springen),
07020204,Halle des Robert-Blum-Gymnasiums,Kolonnenstraße 21 ,10829 Berlin,Halle >=10x12m bis <15x27m (2x),,,,,
07020204,Sporthalle der Havelland-Grundschule,Kolonnenstraße 30-30a,10829 Berlin,Halle >=27x45m,Jugend- und Mehrzweckraum,,,,
07020204,Sportflächen der Havelland-Grundschule,Kolonnenstraße 30-30a ,10829 Berlin,Kleinspielfeld <5000m²,LAEA (Laufbahn / Springen),,,,
07020204,Sporthalle der ehem. Teske-Schule,Tempelhofer Weg 62 ,10829 Berlin,Halle >=10x12m bis <15x27m (2x),,,,,
