LOR-ID,Name,Fläche in m²,VAG
07020201,Bayerischer Platz,6523,wohnortnah
07020202,Rudolph-Wilde-Park,51731,wohnortnah
07020203,Heinrich-Lassen-Park,12465,wohnortnah
07020203,Crellestr. an der Langenscheidtbrücke,9350,wohnortnah
07020203,Wartburgplatz - Grünanlage,6261,wohnortnah
07020203,Wannseebahnquerung,140,wohnortnah
07020204,GASAG Nordspitze,19944,wohnortnah
07020204,Ost-West-Grünzug Schöneberger Schleife,11596,wohnortnah
07020204,Nord-Süd-Grünzug,31286,wohnortnah
07020204,Flaschenhalspark,42176,wohnortnah
07020204,Cheruskerpark,19944,wohnortnah
07020204,Gotenstr. 83-84 - Grünanlage,437,wohnortnah
