LOR-ID,Name,Bemerkung,Widmung
07020201,Berchtesgadener Str. 29-31,,gewidmet
07020201,Salzburger Str. 14 - Spielplatz,,gewidmet
07020201,Rosenheimer Str. - Spielplatz,"Münchener Str. / Heilbronner Str., Bolzplatz",gewidmet
07020201,Haberlandstr. 2-4,"Landshuter Str. 13-14, Treuchtlinger 7,",gewidmet
07020202,Rudolph-Wilde-Park - Spielplatz Milchhaus,Freiherr-vom-Stein-Str. ggü. Rathaus,gewidmet
07020202,Rudolph-Wilde-Park - Spielwiesen,westlich Carl-Zuckmayer-Brücke,gewidmet
07020203,Wartburgplatz - Spielstraße,"Apostel-Paulus-Str., Bolzplatz etc.",gewidmet
07020203,Heinrich-Lassen-Park - Spielplatz II,Hauptstr. hinter 40 - einschließlich Wiesen,gewidmet
07020203,Heinrich-Lassen-Park - Spielplatz I,Belziger Str. 57,gewidmet
07020203,Heinrich-Lassen-Park Spielplatz III,,gewidmet
07020203,Heinrich-Lassen-Park - Spielwiese,an der Belziger Str.,gewidmet
07020203,Herbertstr. 10,Feurigstr. 5 (Nord),gewidmet
07020203,Apostel-Paulus-Str. 36-38,"Merseburger Str. 11, Bolzplatz etc.",gewidmet
07020203,Hauptstr. 43A - Pädagogischer Spielplatz,KFE Lassenpark - Bauspielplatz,-
07020203,Kurt-Hiller-Park - Spielplatz,"Grunewaldstr. 94 / Hauptstr. 1/2, Bolzplatz.",gewidmet
07020203,Herbertstr. 8-9,Feurigstr. 65 (Süd),gewidmet
07020203,Belziger Str. 8-10,"Gleditschstr., Bolzplatz etc.",gewidmet
07020203,Crellestr. 47,,gewidmet
07020203,Ebersstr. 85-86,,gewidmet
07020203,Wartburgplatz - Spielplatz,Gothaerstr. / Wartburgstr.,gewidmet
07020203,Apostel-Paulus-Str. / Kirche ,,-
07020203,Crellestr. 18 - Spielplatz,"Bolzplatz, Streetball etc.",gewidmet
07020204,Naumannstr. 42/44,"Gustav-Müller-Str. 37, Bolzplatz etc.",gewidmet
07020204,Cheruskerpark - Spielplatz Süd,,gewidmet
07020204,Brunhildstr. 1,,gewidmet
07020204,Hohenfriedbergstr. 25-26,,gewidmet
07020204,Tempelhofer Weg 5-7,"Sachsendamm 88-89, Bolzplatz etc.",gewidmet
07020204,Cheruskerstr. 8 / Roßbachstr. 4,,gewidmet
07020204,Leuthener Platz - Spielplatz,,gewidmet
07020204,Torgauerstr. 3 / Leberstr.,Bolzplatz etc.,gewidmet
07020204,Gotenstr. 83-84 - Spielplatz,"Leberstr. 12, Bolzplatz etc.",gewidmet
07020204,Cheruskerpark Spielplatz Nord,ehem. GASAG,gewidmet
07020204,Leuthener Platz (Ost),Streetballfeld,gewidmet
07020204,Monumentenstraße Süd,,gewidmet
07020204,Geßlerstraße,Monumentenstraße 13B,gewidmet
07020204,Monumentenplatz - Spielplatz,Am Lokdepot,gewidmet
07020204,Monumentenstraße Nord,,gewidmet
