ref,type,datasource,content
1,titel,,BZRP Schöneberg Süd (070202)
1,titel-sm,,Impressum
1,text,,"Herausgegeben durch Bezirksamt Tempelhof-Schöneberg von Berlin, Organisationseinheit Sozialraumorientierte Planungskoordination (OE SPK).<br>Koordination: Ulrich Binner (Datenkoordination, SPK DK). Bearbeitungsstand: beschlossen durch AG SRO am 16.11.2017, beschlossen durch Bezirksamt Tempelhof-Schöneberg am 06.02.2018.<br>Datenstand: KID & DGZ 12/2015, ergänzende Daten wie angegeben."
1,titel,,Kurzporträit der Bezirksregion
1,titel-sm,,"Nachbearbeiteter Ausschnitt Digitale Orthophotos 2017, BZR 070202 mit PLR Grenzen. Quelle: Geoportal Berlin "
1,image,070202_Abb_01.png,
1,text,,"Die Bezirksregion (BZR) Schöneberg Süd umfasst den mittleren Teil des Ortsteils Schöneberg. Sie beginnt unterhalb der Badenschen Straße, Eisenacher Straße und Monumentenstraße und reicht bis zur Trasse der S-Bahn und dem Sachsendamm. Westlich beginnt die BZR an der Bezirksgrenze zu Charlottenburg-Wilmersdorf und reicht östlich bis zur Trasse der Nord-Süd-Bahn. Die Siedlungsstruktur der BZR ist homogen durch verdichtete Blockrandbebauung geprägt. Die BZR umfasst eine Fläche von 337 Hektar."
1,text,,"Die BZR Schöneberg Süd (LOR-Nummer: 070202) gliedert sich in die vier Planungsräume (PLR): <br>- Bayerischer Platz (07020201), <br>- Volkspark (Rudolph-Wilde-Park) (07020202), <br>- Kaiser-Wilhelm-Platz (07020203) und <br>- Schöneberger Insel (07020204)."
1,text,,"Zum Ende 2015 waren in Schöneberg Süd rund 50.000 Menschen melderechtlich registriert. In den vergangenen fünf Jahren ist die Zahl der Einwohnenden in der BZR um 3,4% gestiegen, nachdem sie über mehrere Jahre gesunken war. Der Anteil der Ausländer_innen ist in Schöneberg Süd mit rund 23% höher als im Bezirk. Die Altersstruktur weist vergleichsweise geringe Anteile an unter 18-Jährigen und über 65-Jährigen auf. Der Altersdurchschnitt lag in der BZR bei 44,2 Jahren.<br>Die Schaffung eines neuen urbanen Cityentlastungsgebietes am Schnittpunkt der Regionen Schöneberg Süd und Tempelhof im Zusammenhang mit dem neuen Fernbahnhof Bahnhof Südkreuz ist auch weiterhin eine der stadtplanerischen Hauptaufgaben. Obwohl der neue Bahnhof schon seit Mai 2006 in Betrieb ist, vollzieht sich die städtebauliche Entwicklung in der Umgebung nur schleppend. Der Bezirk arbeitet kontinuierlich daran, zwischen den Bahnhöfen Schöneberg und Südkreuz, auf der sogenannten Schöneberger Linse, ein städtisches Quartier mit vielfältigen Nutzungen und hoher baulicher Dichte entstehen zu lassen. <br>Das Gebiet Schöneberg-Südkreuz ist Fördergebiet im Programm Stadtumbau West. Das ca. 180 ha umfassende Stadtumbaugebiet reicht von den Yorckbrücken im Norden bis zur Ring-Autobahn im Süden und schließt neben am Gasag-Gelände auch das Gewerbegebiet an der Naumannstr. und das Gebiet der ehemalige Kasernen an der General-Pape-Straße mit ein. Mit dem Programm soll nachteiligen Folgen des wirtschaftlichen und demographischen Wandels begegnet werden. Der Bezirk entwickelt die Gegend als vielfältigen Standort für Dienstleistungen, Gewerbe und Wohnen. "
1,titel-sm,,"Überblick BZR 070202, Stand: 31.12.2015. Quelle: AfS, eigene Zusammenstellung"
1,table,tab_01,
