LOR-ID,0<6 J.,6<15 J.,15<18 J.,18<25 J.,25<55 J.,55<65 J.,65<80 J.,80 J. und älter
07040401 (abs.),1074,1485,500,1313,7779,2123,2690,811
07040401 (%),6.0,8.4,2.8,7.4,43.8,11.9,15.1,4.6
07040402 (abs.),76,117,31,112,800,309,425,244
07040402 (%),3.6,5.5,1.5,5.3,37.8,14.6,20.1,11.5
07040403 (abs.),1307,1568,482,1752,11313,2986,3276,978
07040403 (%),5.5,6.6,2.0,7.4,47.8,12.6,13.8,4.1
07040404 (abs.),200,323,103,353,1982,612,1105,384
07040404 (%),4.0,6.4,2.0,7.0,39.2,12.1,21.8,7.6
07040405 (abs.),662,748,256,939,5112,1191,1387,605
07040405 (%),6.1,6.9,2.3,8.6,46.9,10.9,12.7,5.6
07040406 (abs.),305,189,31,377,2076,370,340,109
07040406 (%),5.7,7.0,2.2,7.7,45.9,12.0,14.6,4.9
070404 (abs.),3624,4430,1403,4846,29062,7591,9223,3131
070404 (%),5.7,7.0,2.2,7.7,45.9,12.0,14.6,4.9
07 (abs.),18109,24372,8232,25071,150477,44156,54443,16291
07 (%),5.3,7.1,2.4,7.4,44.1,12.9,16.0,4.8
