LOR_ID,Name,Anschrift,PLZ/Ort,Schüler_innen
07040401,Grundschule auf dem Tempelhofer Feld,Schulenburgring 7-11 ,12101 Berlin,494
07040401,Hugo-Gaudig-Schule (ISS),Boelckestr. 58-60 ,12101 Berlin,421
07040401,Tempelherren Grundschule,Boelckestr. 58-60 ,12101 Berlin,258
07040402,Lindenhof-Grundschule,Reglinstr. 29 ,12105 Berlin,325
07040403,Askanisches Gymnasium,Kaiserin-Augusta-Str. 19-20 ,12103 Berlin,593
07040403,Freie Schule in Berlin (Grundschule),Viktoriastr. 13 ,12105 Berlin,54
07040403,Maria-Montessori-Grundschule,Friedrich-Wilhelm-Str. 72-74 ,12103 Berlin,483
07040403,Schule am Berlinickeplatz (ISS),Alt-Tempelhof 53-57 ,12103 Berlin,335
07040404,Johanna-Eck-Schule (ISS),Ringstraße 103-106 ,12105 Berlin,405
07040404,Paul-Klee-Grundschule,Konradinstraße 15-17 ,12105 Berlin,556
07040405,Luise-Henriette-Gymnasium,Germaniastr. 4-6,12099 Berlin,647
07040405,Paul-Simmel-Grundschule,Felixstr. 26-58 ,12099 Berlin,470
07040406,Marianne-Cohn-Schule (Förderzentrum),Holzmannstraße 7 ,12099 Berlin,97
