LOR-ID,Name,Anschrift,PLR / Ort,Bemerkungen
07040401,Notunterkunft,Platz der Luftbrücke,12099 Berlin,"Ehemaliger Flughafen Tempelhof, Betreiber: TAMAJA Soziale Dienstleistungen GmbH"
07040401,Gerontopsychiatrische Tagespflege ,Loewenhardtdamm 41,12101 Berlin,Tagespflege
07040401,Gemeinschaftsunterkunft Columbiadamm,Columbia Damm,12101 Berlin,Containersiedlung auf dem Vorfeld des Flughafengebäudes
07040402,Wohnheim für ehemals obdachlose Personen,,12099 Berlin,"Apartments, eigene Bezirkseinrichtung, Bilaterales Projekt (30)"
07040402,Seniorenheim Bessemerstraße,Bessemerstraße 78,12103 Berlin,Stationäre Pflege
07040403,Wohnheim Alt-Tempelhof,Alt-Tempelhof 33A,12103 Berlin,Einrichtung der Eingliederungshilfe für Menschen mit Behinderung
07040403,Wohnheim für obdachlose Personen,Schöneberger Straße 26 u. Remise ,12106 Berlin,Wohnheim für Wohnungslose BUL (20)
07040403,Seniorendomizil am Alboinplatz,Friedrich-Wilhelm-Str. 52-54 ,12099 Berlin,Stationäre Pflege
07040403,Wohnheim für obdachlose Personen,Schöneberger Str. 27 - 27a ,12103 Berlin,Wohnheim für Wohnungslose BUL (120)
07040403,Hiram Haus e.V. Betreutes Wohnen,Alt-Tempelhof 28,12103 Berlin,Hiram Haus e.V.
07040403,Pflegestützpunkt des VDK,Reinhardstr. 7,12103 Berlin,Beratungsstelle für den gesamten Bezirk
07040403,Mobilitätshilfedienst der Diakonie,Blumenthalstraße 11,12103 Berlin,Zuständig für den Süden des Bezirks
07040403,G und G Kurzzeitpflege,Ringbahnstraße 76,12103 Berlin,Kurzzeitpflege
07040403,Geriatrische Tagespflege Villa Albrecht,Albrechtstraße 103,12103 Berlin,Tagespflege
07040405,Schuldner- und Insolvenzberatung,Germaniastr. 18-20,12099 Berlin,Zugang nur für Betroffenen aus TS
07040405,Alkohol- und Medikamentenberatungsstelle Tempelhof-Schöneberg,Tempelhofer Damm 129 ,12099 Berlin,Notdienst für Suchtmittelgefährdete und –abhängige Berlin e.V.
07040405,Bavaria II Pflegeresidenz,Alt-Tempelhof 10–12,12099 Berlin,Stationäre Pflege
07040405,Avila-Wohnpark St. Teresa,Götzstraße 65,12099 Berlin,Einrichtung des Petruswerk
07040405,Notunterkunft,Colditzstraße 22,12099 Berlin,Wird derzeit in Gemeinschaftsunterkunft umgebaut
07040405,Senioren-Domizil Tempelhof,Götzstraße 20 A,12099 Berlin,Stationäre Pflege
07040405,Wohnheim für Wohnungslose,Ringbahnstraße 8,12099 Berlin,Wohnheim für Wohnungslose BUL (8)
07040405,Vivantes Hospiz gGmb,Wenckebachstraße 23,12099 Berlin,Hospiz auf dem Gelände des Wenckebach-Krankenhaus
07040405,Tagespflege Tempelhof,Götzstraße 22,12099 Berlin,Tagespflege
07050501,Regionaler Sozialdienst des Jugendamtes,Strelitzstraße 15,12105 Berlin,Standort liegt in Mariendorf
070404,Gerontopsychiatrischer Verbund,,,AG Mariendorf/Tempelhof
