LOR-ID,Name,Fläche in m²,VAG
07040401,Steingrube (Promenade) ,404,wohnortnah
07040401,Wolffring - Grünanlage ,8997,wohnortnah
07040401,Adolf-Scheidt-Platz - Gartendenkmal ,1583,wohnortnah
07040401,Kynastteich - Grünanlage ,3000,wohnortnah
07040401,Achenbachpromenade - Grünanlage ,3245,wohnortnah
07040401,Hansakorso (Promenade) ,3456,wohnortnah
07040401,Hertha-Block-Promenade ,5599,wohnortnah
07040401,Tempelhofer Freiheit ,2682234,siedlungsnah
07040402,Alboinplatz - Gartendenkmal ,23590,wohnortnah
07040402,Naturpark Schöneberger Südgelände ,178983,siedlungsnah
07040403,Teltowkanal Nord Te-Damm-Alarichstraße. ,7840,wohnortnah
07040403,Bosepark - Grünanlage ,14014,wohnortnah
07040403,Lehnepark - Gartendenkmal ,10684,wohnortnah
07040403,Alter Park - Grünanlage ,25261,wohnortnah
07040403,Friedensplatz ,2150,wohnortnah
07040404,Ringstr. Nord - Grünzug u. Promenade ,8541,wohnortnah
07040404,Teltowkanal Nord Geiserich- bis Gersdorf ,1112,wohnortnah
07040404,Geiserich (Promenade) ,592,wohnortnah
07040404,Marienhöhe (Kolonie-Promenade) ,2726,wohnortnah
07040404,Marienhöhe - Gartendenkmal ,39365,wohnortnah
07040405,Feldblumenweg (Promenade) ,1890,wohnortnah
07040405,Franckepark - Grünanlage ,48006,wohnortnah
07040405,Templerzeile ,4726,wohnortnah
07040405,Metzplatz ,2097,wohnortnah
07040405,Albrechtshöhe (Promenade) ,1729,wohnortnah
07040405,Bergfrieden (Promenade) ,1584,wohnortnah
07040405,Tempelhofer Damm 161 - Grünanlage ,11136,wohnortnah
07040405,Gottlieb-Dunkel-Straße / Ullsteinstraße. ,1039,wohnortnah
07040405,Koseler Weg (ehemals) ,785,wohnortnah
07040406,Oberlandpark ,5135,wohnortnah
07040406,Gottlieb-Dunkel-Str. 16-18 ,20582,wohnortnah
07040406,Gottlieb-Dunkel-Str. - Grünanlage ,35296,wohnortnah
07040406,Rohrbeckstr. - Tiefbeet ,1640,wohnortnah
insgesamt,,3159020,
