LOR-ID,Name,Bemerkung,Widmung
07040401,Tempelhofer Damm 103,Skateboard,gewidmet
07040401,Bundesring (Süd) - Spielplatz,,-
07040401,Garten der Blumen und Wasserspiele ,,gewidmet
07040401,Wolffring - Spielplatz,Bolzplatz etc.,gewidmet
07040401,Bäumerplan - Spielplatz,"Wüsthoffstr. Bolzplatz, Streetball, etc.",-
07040401,Achenbachpromenade - Spielplatz,"Beach-Volley, Streetball etc.",gewidmet
07040401,Bundesring (Nord) - Spielplatz,Bolzplatz,gewidmet
07040402,Alboinplatz - Spielplatz,,gewidmet
07040403,Bosepark - Spielwiesen,,gewidmet
07040403,Lehnepark - Spielplatz,Schönburgstr. ggü. Nr. 12,gewidmet
07040403,Burgemeisterpark - Spielplatz,"Die Burg, Bolzplatz",gewidmet
07040403,Bosepark - Spielplatz,"Die Lok - Bolzplatz, Streetball etc.",gewidmet
07040403,Sennockstr.,Zirkus Kunterbunt,gewidmet
07040403,Alter Park - Spielwiese,,gewidmet
07040404,Marienhöhe - Spielplatz Gerdsmeyerweg,,gewidmet
07040404,Alarichplatz - Spielplatz,Bolzplatz etc.,gewidmet
07040404,Ringstr. Nord – Spielpl. Ringstr. 10,Zur alten Poststation,gewidmet
07040404,Marienhöhe - Spielwiese,ehem. Rodelhang,gewidmet
07040404,Marienhöhe - Spielplatz Marienhöher Weg,Bolzplatz,gewidmet
07040405,Götzstraße 30,an der Templerzeile,gewidmet
07040405,Götzstr. 64 östl. Felixstr. - Spielplatz,"Sportarena - Beach-Volley,Streetball etc.",gewidmet
07040405,Germaniastr. 1,neben Durchgang Str. 20a,-
07040405,Tempelhofer Damm 161 – Spielpl.,Grunackpark,gewidmet
07040405,Franckepark - Spielplatz,,gewidmet
07040406,Rohrbeckstr. - Spielplatz,,gewidmet
07040406,Hattenheimer Str. 3 - Spielplatz,"An der BAB 100, Titanic",gewidmet
07040406,Gottlieb-Dunkel-Str.-Spielplatz,"ggü. Tempelhofer Weg, BMX, Streetball etc.",gewidmet
