ref,type,datasource,content
1,text,,"Die Bezirksregion (BZR) Tempelhof umfasst den Ortsteil Tempelhof sowie einen kleinen Teil des Ortsteils Schöneberg. Sie beginnt an der Bezirksgrenze zu Friedrichshain-Kreuzberg entlang des Columbiadamms und reicht bis zum Teltowkanal bzw. der Ullsteinstraße. Westlich bildet die Bahntrasse der S2/S25 die Grenze der BZR, östlich endet die BZR an der Bezirksgrenze zu Neukölln entlang des Eschersheimer Weg und der Cafeastraße. Die Siedlungsstruktur der BZR ist hauptsächlich durch den Siedlungsbau der 20er – 30er Jahre geprägt, die Nebenprägung ist die verdichtete Blockrandbebauung. Die Bezirksregion umfasst eine Fläche von 1.380 Hektar und ist die größte BZR in Tempelhof-Schöneberg. <br><br>Die BZR Tempelhof (LORNummer: 070404) gliedert sich in die sechs Planungsräume (PLR): <br>- Neu-Tempelhof (07040401), <br>- Lindenhofsiedlung (07040402), <br>- Manteuffelstraße (07040403) <br>- Marienhöhe (07040404)<br>- Rathaus Tempelhof (07040405) und <br>- Germaniagarten (07040406)<br><br>Zum Ende 2015 waren in der BZR Tempelhof rund 63.000 Personen melderechtlich registriert. In den vergangenen fünf Jahren ist die Zahl der Einwohnenden in der BZR um 7,8% gestiegen, die BZR Tempelhof ist die am stärksten gewachsene BZR im Bezirk. Der Anteil der Ausländer_innen ist in Tempelhof mit rund 19% nahe am bezirklichen Durchschnitt. Die Altersstruktur weist Anteile an unter 18Jährigen und über 65Jährigen auf, die nahe an den gesamtbezirklichen Vergleichswerten liegen. Der Altersdurchschnitt lag in der BZR bei 43,1 Jahren.In der BZR Tempelhof liegt auch das Gebiet des ehemaligen Zentralflug das Tempelhofer Feldhafens, das gegenwärtig als Freifläche genutzt wird. Ebenso liegt in der BZR Tempelhof auf das Flughafengebäude, von dem ein Teil als Notunterkunft genutzt wird. Darüber hinaus ist geplant, das Flughafengebäude zu einem Standort der Kreativwirtschaft auszubauen. Durch das mit Volksentscheid beschlossene Gesetz zum Tempelhofer Feld ist gegenwärtig eine Nutzung der Fläche als Bauland ausgeschlossen.<br>Als vorhandene Wohnbauflächenpotentiale sind zum einen die Nachverdichtungsmöglichkeiten entlang der Manteuffelstraße / Alboinstraße sowie das zukünftige Baugebiet an der General Pape Straße zu nennen. Ebenso ist zum anderen aber auch das Gebiet „Rathaus Tempelhof und näheres Umfeld“ zu nennen, für das im Juni 2016 durch den Senat die Einleitung vorbereitender Untersuchungen gem. § 141 BauGB beschlossen wurde. Das ca. 55 ha große Untersuchungsgebiet wird begrenzt durch Alt-Tempelhof / die Germaniastraße im Norden, die Bebauung östlich der Felixstraße im Osten, die Albrechtstraße im Süden und den Alten Park / Reinhardtplatz und –straße im Westen. Ebenso sollte der Tempelhofer Parkfriedhof genannt werden, der Anfang des 20. Jahrhunderts eröffnet wurde und zum 01. April 1997 geschlossen wurde. <br><br>Die Kernindikatoren zum Stand Dezember 2015 zeigen für die BZR auffällige Werte in Bezug auf:     <br>die  - Relation der Fläche der öffentlichen Spielplätze zu der Anzahl der Einwohnenden (Aufmerksamkeitsstufe 2 im bezirklichen und gesamtstädtischen Vergleich)- Anteil der betreuten Kinder in öffentlich geförderter Kindertagesbetreuung an Kindern unter 6 Jahren (Aufmerksamkeitsstufe 3 im bezirklichen und gesamtstädtischen Vergleich)<br>-  Relation der Plätze in Jugendfreizeiteinrichtungen zu Kindern und Jugendlichen im Alter 6 bis unter 25 Jahre (Aufmerksamkeitsstufe 2 im bezirklichen Vergleich)<br>- Anteil unter 18-Jähriger mit Migrationshintergrund an dieser Altersgruppe (Aufmerksamkeitsstufe 2 im gesamtstädtischen Vergleich)<br>- den Anteil der Einwohner_innen mit mindestens fünf Jahren Wohndauer an derselben Adresse (Aufmerksamkeitsstufe 2 im bezirklichen Vergleich)<br>- dem Wanderungssaldo gesamt je 100 Einwohner_innen (Aufmerksamkeitsstufe 3 im bezirklichen und Aufmerksamkeitsstufe 2 im gesamtstädtischen Vergleich)<br>- den Anteil Arbeitsloser nach SGB II und SGB III an Einwohner_innen im Alter 15 bis unter 65 Jahre (Aufmerksamkeitsstufe 2 im bezirklichen Vergleich)<br>- den Anteil Arbeitsloser nach SGB II und SGB III unter 25 Jahren an den Einwohner_innen der Altersgruppe (Aufmerksamkeitsstufe 2 im bezirklichen Vergleich)<br>- den Anteil der Personen in Bedarfsgemeinschaften nach SGB II mit Leistungsanspruch SGB II an den Einwohner_innen unter 65 Jahren und den Anteil aller Personen in Bedarfsgemeinschaften nach SGB II an den Einwohner_innen unter 65 Jahren (Aufmerksamkeitsstufe 2 im bezirklichen Vergleich)<br>- den Anteil der Personen in Bedarfsgemeinschaften nach SGB II unter 15 Jahren an den Einwohner_innen unter 15 Jahren (Aufmerksamkeitsstufe 2 im bezirklichen Vergleich)<br>- den Anteil von Schüler_innen nicht deutscher Herkunftssprache an den Schüler_innen der öffentlichen Grundschulen (Aufmerksamkeitsstufe 2 aufgrund fachlichem Grenzwert)<br>- den Anteil von Schüler_innen mit Lernmittelkostenbefreiung an den Schüler_innen der öffentlichen Grundschulen (Aufmerksamkeitsstufe 2 aufgrund fachlichem Grenzwert)<br>Im Monitoring Soziale Stadtentwicklung 2015 wurde die BZR Tempelhof dem Sozial-Index mittel und dem Dynamik-Index stabil zugeordnet (keine Veränderung zu MSS 2013).<br><br>In der BZR gelten für die Wolframsiedlung und die Gartenstadt Neu-Tempelhof Verordnungen über die Erhaltung baulicher Anlagen und der städtebaulichen Eigenart. <br><br>Für ein Verdachtsgebiet in der BZR wird gegenwärtig überprüft, ob die Voraussetzungen für eine soziale Erhaltungsverordnung vorliegen.<br>"
1,titel-sm,,"nachbearbeiteter Ausschnitt Digitale Orthophotos 2017, BZR 070404 mit PLR Grenzen. Quelle: Geoportal Berlin"
1,text,,<img src="data/images/070404_abb_01.jpg" alt="Ausschnitt der Bezirksregion aus dem Orthophoto 2017" height="auto" width="100%">
1,titel,,1.1 Neu-Tempelhof
1,titel-sm,,"Ausschnitt PLR 07040401. Quelle: BK20, GeoVerm BA-TS"
1,text,,<img src="data/images/070404_Abb_02.jpg" alt="Kartenausschnitt Planungsraum 07040401" height="auto" width="100%">
1,text,,"<br>Der Planungsraum (PLR) liegt südlich der Bezirksgrenze zu Friedrichhain-Kreuzberg unterhalb der Dudenstraße / Schwiebusser Straße und des Columbiadamms. Westlich endet der PLR an der Bahntrasse der Nord-Süd-Bahn, östlich reicht der PLR bis an die Bezirksgrenze zu Neukölln. Die Siedlungsstruktur weist als Hauptprägung den Siedlungsbau der 20er – 30er Jahre und als Nebenprägung den Siedlungsbau der 50er Jahre auf. Der PLR umfasst eine Fläche von rund 555 Hektar und ist der größte PLR des Bezirks. Durch das Tempelhofer Feld ist die überwiegende Fläche des PLR durch Brache und wiesenartigen Vegetationsbestand genutzt. <br>Zum Ende 2015 waren im PLR rund 18.000 Personen melderechtlich registriert. In den fünf Jahren zuvor hat sich die Zahl der Einwohnenden im PLR um etwas mehr als 11% erhöht. Der Anteil der Ausländer_innen an den Einwohnenden lag unter dem bezirklichen Durchschnitt. Die Altersstruktur wies einen durchschnittlichen Anteil an Personen über 65 Jahren aus, der Anteil der unter 18-Jährigen lag deutlich über dem bezirklichen Vergleichswert. Der Altersdurchschnitt lag bei 42,9 Jahren.<br><br>Die Kernindikatoren zum Stand Dezember 2015 zeigen für den PLR auffällige Werte in Bezug auf:<br>- die Häufigkeitszahl der kiezbezogenen Straftaten<br>- einem vergleichsweise hohen positiven Wanderungssaldo je 100 Einwohner_innen <br>- auffallend hohen positiven Wanderungssaldo der unter 6-Jährigen je 100 Personen dieser Altersgruppe<br><br>Im MSS 2015 wies der PLR den Gesamtindex Soziale Ungleichheit 2+/- (mittel/stabil) auf.<br>Im PLR liegen zwei Grundschulen, eine integrierte Sekundarschule und ein Oberstufenzentrum, sowie eine Jugendfreizeiteinrichtung und eine Seniorenfreizeitstätte. Ebenso liegt im Planungsraum auch der ehemalige Flughafen Tempelhof, in dessen Hangars bis in die Gegenwart von Flucht und Obdachlosigkeit betroffene Personen „versorgt“ werden.<br>"
1,titel,,1.2 Lindenhofsiedlung
1,titel-sm,,"Ausschnitt PLR 07040402. Quelle: BK10, GeoVerm BA-TS"
1,text,,<img src="data/images/070404_Abb_03.jpg" alt="Kartenausschnitt Planungsraum 07040402" height="auto" width="100%">
